"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Kat6a",0.314364317798,-0.255048698558668,0.258,0.206,1
"Med21",0.315202677117613,-0.756949176996236,0.181,0.18,1
"Lin7c",0.315339153144977,-0.230336423728981,0.159,0.129,1
"Mien1",0.324263576184262,-0.267387609940103,0.337,0.263,1
"Nucks1",0.332558211622299,-0.321535970693976,0.36,0.329,1
"Emc7",0.333423435191114,-0.334660045486701,0.352,0.273,1
"Numa1",0.333605286785379,-0.253204933859909,0.183,0.15,1
"Nucb1",0.33423496377471,-0.37463958357545,0.286,0.224,1
"Rsf1",0.338973288721268,-0.299351726415768,0.197,0.161,1
"Ulk2",0.339705142433965,-0.529475385483848,0.161,0.163,1
"Fam50a",0.342464154386132,-0.315861566923201,0.252,0.203,1
"Ube2v2",0.346081303451866,-0.268006504039859,0.183,0.149,1
"Eprs",0.34737051870674,-0.235045644484988,0.278,0.225,1
"Ddx3x",0.349037929495224,-0.282645073004337,0.533,0.461,1
"Galnt1",0.349361545941405,-0.224415174800838,0.285,0.226,1
"Idh3g",0.353692780508299,-0.231990798547431,0.231,0.187,1
"Rraga",0.355082543553685,-0.660596705205903,0.191,0.185,1
"Zmynd11",0.355528254013701,-0.547258701959689,0.166,0.166,1
"Hmox1",0.35660897157663,0.229601992757892,0.38,0.321,1
"Fgd4",0.356720100187629,-0.205695772528813,0.183,0.151,1
"Rab1b",0.360515326409845,-0.238174045513519,0.217,0.175,1
"Socs3",0.362151006838703,-0.240955617836685,0.658,0.571,1
"Brd8",0.362299799559327,-0.357779207014612,0.167,0.136,1
"Mrpl51",0.36377389067024,-0.344628138381722,0.266,0.212,1
"Kmt2a",0.363857698065975,-0.217491189931182,0.257,0.209,1
"Imp3",0.369251745318554,-0.574188096879016,0.211,0.203,1
"Stk17b",0.3702898801183,-0.252300446199957,0.461,0.362,1
"Glipr1",0.370464229517936,-0.233757674490476,0.279,0.232,1
"Ndufb2",0.37136170192377,-0.326501606736291,0.298,0.235,1
"Fdps",0.371935709449351,-0.322204985113424,0.15,0.124,1
"Cebpz",0.374853363794031,-0.494564085639419,0.223,0.215,1
"Pcm1",0.378887903475752,-0.328831173136796,0.234,0.19,1
"Nufip2",0.378985444396245,-0.234651084965428,0.358,0.279,1
"Gpr183",0.382274328285851,-0.221729614731425,0.315,0.304,1
"Ncoa4",0.387937343567989,-0.549038453858851,0.197,0.191,1
"Rsu1",0.388431970073136,-0.266921809231515,0.287,0.23,1
"Stt3a",0.389944001370574,-0.224801853666117,0.178,0.147,1
"Nptn",0.390680880602795,-0.244792014587653,0.416,0.32,1
"Prkacb",0.39308086671609,-0.534928503252045,0.2,0.195,1
"Hnrnpr",0.394687815775144,-0.572377074260276,0.228,0.216,1
"Tcf4",0.396105975629865,-0.371886692455614,0.426,0.366,1
"Bod1l",0.396119410091375,-0.45395040358491,0.35,0.306,1
"Abraxas2",0.396222060508807,-0.287216222414522,0.157,0.129,1
"Ube2q2",0.398664952265936,-0.462240686525905,0.149,0.15,1
"Tsc22d2",0.404217279403918,-0.281344404189146,0.209,0.171,1
"Wfdc17",0.407787155387012,-0.250358419223518,0.664,0.619,1
"Cd93",0.412423570274484,-0.306139547826521,0.159,0.134,1
"0610012G03Rik",0.418662923689736,-0.211402624554021,0.368,0.295,1
"Rnf11",0.419182928223982,-0.416748838765679,0.148,0.151,1
"Cnpy2",0.419221800173477,-0.324709879648079,0.26,0.209,1
"Foxp1",0.42141192444668,-0.344129583237931,0.278,0.227,1
"Uqcrc2",0.42371703071708,-0.366536292609298,0.292,0.231,1
"Emc6",0.426955327969257,-0.342490072895858,0.266,0.215,1
"Mdh2",0.427126935398984,-0.393120179466299,0.411,0.32,1
"Trim35",0.428079533089581,-0.270921427666776,0.164,0.14,1
"Exoc3",0.436607738384113,-0.256421606047583,0.245,0.2,1
"Tsc22d3",0.43795238075067,-0.201824989616126,0.205,0.174,1
"Csnk1e",0.442226120801378,-0.29284482242782,0.23,0.189,1
"Tnrc6c",0.44296997927107,-0.517678428464846,0.289,0.263,1
"Mphosph8",0.443078397880327,-0.216989638986347,0.168,0.143,1
"Cdk4",0.443518608877065,-0.355556961024919,0.196,0.162,1
"Paip2",0.443526011212941,-0.460161247799464,0.343,0.301,1
"Tcn2",0.443686815447252,-0.523715378404395,0.209,0.199,1
"Mapkap1",0.44780644106196,-0.357683930261466,0.167,0.14,1
"Wbp4",0.44971987124007,-0.519479016723886,0.253,0.232,1
"Agpat3",0.451486099616491,-0.439192097299739,0.159,0.161,1
