"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",5.97046270743512e-133,2.51364069342653,0.992,0.997,1.50031757375137e-128
"Gbp2",1.57971410800262e-113,5.15831728406026,0.53,0.05,3.96966358199979e-109
"Zbp1",6.31081395628429e-97,3.10684920778742,0.578,0.109,1.58584443907468e-92
"AW112010",3.52321798176971e-88,2.89513745460867,0.695,0.261,8.85349446638911e-84
"Ccl5",3.69945395777556e-87,3.68955413800612,0.428,0.035,9.29635785049422e-83
"Cfb",1.05128527245207e-76,4.62927911960923,0.38,0.031,2.6417747611448e-72
"Cxcl9",3.39872929431164e-75,8.0782873375989,0.32,0.005,8.54066684367571e-71
"Fgl2",2.07839024708983e-74,2.26355913662739,0.637,0.217,5.22278685191202e-70
"Cd274",1.58610261125565e-72,4.20952510702084,0.379,0.037,3.98571725182432e-68
"Isg15",3.48853109962072e-72,3.65282789158796,0.601,0.197,8.7663298002369e-68
"Iigp1",6.33231524036828e-71,3.83368588264212,0.394,0.048,1.59124749675215e-66
"Ifi205",2.8136030448446e-70,5.14196170606041,0.325,0.015,7.07030309138998e-66
"Ifi47",9.45375572005985e-69,2.86782980528745,0.486,0.108,2.37563427489384e-64
"Ms4a4c",1.54512069067155e-68,2.81399599096281,0.529,0.146,3.88273378358853e-64
"H2-Q7",1.84250064697319e-68,2.33981730394994,0.509,0.115,4.63001987577892e-64
"Ly6c2",1.09089455141421e-67,3.13855261127402,0.399,0.054,2.74130891824878e-63
"Ly6a",2.91471743925336e-67,2.62407094814768,0.523,0.141,7.32439345309978e-63
"Il1rn",1.14304849097275e-66,4.34101057178546,0.401,0.063,2.87236655296543e-62
"Tap1",3.17185488365188e-66,2.15729643435209,0.526,0.132,7.97055413712882e-62
"Irf7",1.44808380733941e-65,2.52203382550757,0.548,0.165,3.63888979946319e-61
"Samhd1",9.92871428688668e-65,2.08820611066794,0.722,0.329,2.49498661315176e-60
"Tspo",1.48638982731608e-63,1.79901730548847,0.79,0.447,3.73514899706258e-59
"Gbp4",1.46778903578011e-62,4.2290242725778,0.302,0.016,3.68840706801185e-58
"Stat1",1.93777867568876e-62,1.99938380206262,0.602,0.217,4.86944403413827e-58
"Fcgr4",2.17963830946192e-62,2.48504186733669,0.517,0.15,5.47721310784686e-58
"Tapbp",2.26824665209086e-62,1.6665299323899,0.684,0.262,5.69987701203913e-58
"Ltf",6.20606014735271e-62,1.96435674869391,0.287,0.01,1.55952085442826e-57
"Ifi211",1.63684784064381e-61,2.53007946249462,0.462,0.105,4.11323493875382e-57
"H2-K1",7.90998764198711e-60,1.00721330754328,0.96,0.829,1.98770079455494e-55
"Psmb8",1.36291451050593e-59,1.34616259652056,0.825,0.501,3.42486787345036e-55
"Mt1",2.591509999103e-58,-1.286705891437,0.628,0.873,6.51220547674593e-54
"B2m",4.77952337411788e-58,0.907767653216023,0.986,0.919,1.20104642868208e-53
"Tgm2",3.311570285569e-56,3.59642193003526,0.385,0.075,8.32164497060634e-52
"Slamf8",5.61553529907677e-56,3.30159418034119,0.322,0.036,1.411127865305e-51
"Sp110",9.08618229359713e-56,1.86131902653351,0.51,0.139,2.28326674855802e-51
"Ccr5",1.19430116002754e-55,1.85206549106997,0.637,0.27,3.00115938503321e-51
"Igtp",3.09396716999662e-55,2.97788841606221,0.339,0.045,7.77483010148452e-51
"Mxd1",4.14591887371654e-55,2.77003463035263,0.385,0.071,1.04182795377623e-50
"Cd40",1.70255592214879e-54,3.79947530080542,0.294,0.026,4.27835277676769e-50
"AA467197",2.66132193448111e-54,4.39908535949585,0.309,0.036,6.68763588915757e-50
"Calhm6",3.33802090299048e-54,2.84377617648251,0.418,0.097,8.38811272712478e-50
"Psme2",2.76319810111035e-53,1.46524727375234,0.713,0.343,6.9436405082802e-49
"Ifi30",2.86294205686996e-53,1.93223851548435,0.726,0.43,7.19428709470852e-49
"Klrk1",4.44830490753161e-53,2.76413131180308,0.315,0.037,1.11781454021362e-48
"Il18bp",7.37164981718779e-53,2.79650201633016,0.358,0.061,1.85242188256112e-48
"Gbp3",7.7618428948287e-53,2.48394170037603,0.394,0.08,1.9504735010415e-48
"Myd88",2.52476363469902e-52,2.12721204616503,0.431,0.099,6.34447853763518e-48
"Psme1",4.19700819795908e-52,1.19851165639231,0.803,0.482,1.05466619006514e-47
"Cd81",2.98278700119452e-51,-1.26526157561,0.474,0.766,7.4954454553017e-47
"Serpina3g",2.70918836814153e-50,4.94791795299529,0.243,0.012,6.80791945030284e-46
"C3",3.15679505539427e-50,2.87908075259626,0.315,0.043,7.93271029470027e-46
"Il2rg",3.45980248436876e-50,1.86748888579572,0.445,0.109,8.69413766297025e-46
"Gbp7",5.87078921986309e-50,1.94318680116418,0.501,0.156,1.4752706230594e-45
"H2-D1",1.81287340335777e-49,0.746330538732511,0.982,0.885,4.55556957529773e-45
"Tgfbi",2.34657026668171e-49,2.0791247457107,0.708,0.429,5.89669642314446e-45
"Irgm1",3.03158069407025e-49,2.60620330628879,0.398,0.097,7.61805912612913e-45
"Slfn2",3.77727257660518e-49,1.43860969854284,0.721,0.377,9.49190825775117e-45
"Psmb10",6.22430281600575e-49,1.68459029389875,0.617,0.27,1.56410505463409e-44
"Fos",4.25622992060276e-48,-0.891511949342139,0.927,0.953,1.06954801674827e-43
"H2-T22",4.35204256489884e-48,1.62098723797445,0.501,0.15,1.09362477613343e-43
"Slamf7",7.28655900397744e-48,1.81980034447375,0.518,0.179,1.83103941210949e-43
"Lgals3",9.05812074334143e-48,1.71347148998279,0.695,0.391,2.27621516159427e-43
"Slfn1",3.57589759975566e-47,2.1144098657403,0.354,0.069,8.985873078426e-43
"Gbp5",3.7803671337845e-47,2.70207904669268,0.345,0.067,9.49968457048706e-43
"Cd300lf",6.79088140923652e-47,2.24834389374655,0.347,0.066,1.70648058932705e-42
"Gbp6",4.86394321134682e-46,4.16546383460331,0.219,0.008,1.22226028957934e-41
"Scimp",3.15573648088068e-45,1.82508156283816,0.477,0.159,7.93005020280505e-41
"Tmsb4x",1.28804977682923e-44,-0.402974119736414,0.999,1,3.23674028419417e-40
"H2-T23",1.39925118297846e-44,1.23646531789622,0.696,0.365,3.51617829770656e-40
"Psmb9",1.84433133805402e-44,1.35508926603851,0.627,0.277,4.63462021939594e-40
"Rsad2",2.29720836023329e-44,4.48938603333851,0.312,0.059,5.77265488843023e-40
"H2-Q4",2.44318500546202e-44,1.98403211198177,0.355,0.071,6.13947960022551e-40
"Spon1",1.08767376772953e-43,4.62614653759236,0.209,0.008,2.73321541092754e-39
"Plac8",1.45901805032602e-43,1.84550251598764,0.426,0.127,3.66636645866426e-39
"Hif1a",6.46444387338412e-43,1.94933038399889,0.535,0.211,1.6244501009427e-38
"Gna13",2.59071270203781e-42,1.50741836175304,0.568,0.229,6.5102019489508e-38
"Ifi209",5.42048058104205e-42,2.25422915933949,0.431,0.139,1.36211256521006e-37
"Egr1",1.3918225134212e-41,-0.995723362586111,0.58,0.818,3.49751079397614e-37
"Ifi204",1.53902113335831e-41,1.55094838834928,0.663,0.346,3.86740620601609e-37
"Ifit2",1.6057561883952e-41,2.8095890061152,0.364,0.098,4.03510472581829e-37
"Cst3",3.02988989623765e-41,-0.754455454548004,0.927,0.944,7.61381032025559e-37
"Rps21",4.8060595430997e-41,-0.539663660612224,0.986,0.987,1.20771470258552e-36
"Gpr35",5.05394352745622e-41,2.34432673057233,0.285,0.046,1.27000546901447e-36
"Jun",1.93403949952381e-40,-0.96183202189342,0.832,0.931,4.86004785835337e-36
"Ass1",3.84994571243891e-40,3.70346074397804,0.221,0.019,9.67452858078773e-36
"mt-Cytb",4.17548390223965e-39,-0.633122978551715,0.95,1,1.0492573497938e-34
"Themis2",1.66556996043652e-38,1.76208652396375,0.389,0.107,4.18541075358094e-34
"Glrx",1.74451102887057e-38,1.9310575138409,0.36,0.092,4.38378176444886e-34
"Ier2",3.80448664412748e-38,-1.08489659300976,0.732,0.822,9.56029448802794e-34
"Prdx6",4.97540584850575e-38,1.09685342358472,0.415,0.121,1.25026973567101e-33
"Aplp2",9.00559433153797e-38,-1.20882781577628,0.475,0.71,2.26301579957218e-33
"Nupr1",1.21191797273892e-37,1.62820912775706,0.338,0.079,3.04542867369564e-33
"Ly6i",1.29956419381775e-37,4.45101430009155,0.184,0.008,3.26567486264463e-33
"Xist",1.37526852021399e-37,-0.803723758261605,0.802,0.894,3.45591226444574e-33
"Ifit1",1.86189344084796e-37,3.51546792939167,0.298,0.065,4.67875202750684e-33
"Phf11b",1.93156029738511e-37,1.80757703835179,0.448,0.157,4.85381787129903e-33
"Ifitm1",1.99338639378934e-37,3.00491671234616,0.222,0.024,5.00918066895324e-33
"Ccr2",2.34868962543676e-37,1.75339877095562,0.469,0.184,5.90202215976004e-33
"Xaf1",2.56294925936672e-37,1.60179084550132,0.418,0.132,6.44043519386262e-33
"Acod1",1.12939903026347e-36,4.84914400223511,0.183,0.009,2.83806682314908e-32
"Fgr",1.46615770585065e-36,1.43243633568875,0.32,0.07,3.6843076990321e-32
"Ifih1",2.14733997078078e-36,1.83908866331423,0.363,0.101,5.39605061257503e-32
"Ddx5",2.51894368537297e-36,-0.600696807119592,0.977,0.988,6.32985358697373e-32
"Cxcl10",4.63324592240413e-36,2.62477752253088,0.427,0.157,1.16428836784093e-31
"Gda",1.03965552978483e-35,2.38316176964302,0.286,0.062,2.61255038079631e-31
"Tarm1",1.65541729720629e-35,4.63805149922516,0.17,0.006,4.15989812614969e-31
"Rpl30",1.75257223704413e-35,-0.506572845807526,0.993,0.999,4.4040387744682e-31
"Hk3",2.05581269981334e-35,2.78303206381434,0.238,0.035,5.16605173336093e-31
"Por",2.86706134220633e-35,2.19870112941877,0.239,0.035,7.20463844683028e-31
"Pirb",4.21195538149312e-35,1.45436610698392,0.504,0.205,1.05842226781541e-30
"Naaa",4.21223011702577e-35,2.25322645921742,0.363,0.111,1.05849130610741e-30
"Nampt",6.34991641262416e-35,1.62950842212427,0.465,0.18,1.59567049532833e-30
"Chmp4b",6.8317286561051e-35,1.07290483037782,0.732,0.397,1.71674509399265e-30
"Mmp14",7.91080271136445e-35,1.71184309408714,0.469,0.187,1.98790561333877e-30
"Parp12",1.01425319275294e-34,1.81219891724964,0.305,0.068,2.54871684806887e-30
"Fxyd5",1.18665573235e-34,0.79430889259848,0.805,0.535,2.98194718982231e-30
"H2-Q6",1.30936395720121e-34,2.10608682603439,0.245,0.039,3.29030068805093e-30
"Oasl2",1.45383738501591e-34,1.52928195457292,0.406,0.135,3.65334796480648e-30
"Csf2rb2",2.13058344290371e-34,2.05566897612383,0.268,0.05,5.35394313367272e-30
"AY036118",2.44194053544168e-34,1.48433912222162,0.73,0.44,6.13635237151139e-30
"Oasl1",4.32610457773287e-34,3.1416382652838,0.258,0.051,1.08710681933849e-29
"Parp14",4.4626423488072e-34,1.39580545828732,0.529,0.23,1.12141739583176e-29
"Rtp4",4.51189577702166e-34,1.43869665018241,0.465,0.18,1.13379428980777e-29
"Lilr4b",5.14444725048064e-34,1.28549117181063,0.555,0.25,1.29274814957328e-29
"Calm2",8.45810989016871e-34,-0.981455846455452,0.812,0.918,2.12543843430049e-29
"Arl6ip5",1.04936301858275e-33,1.54188059027276,0.346,0.091,2.6369443293966e-29
"Dtx3l",1.34694924109672e-33,1.76823637027003,0.343,0.095,3.38474874795195e-29
"Gch1",2.07300966346004e-33,2.32428492139548,0.261,0.05,5.20926598330875e-29
"Herc6",3.11375953553139e-33,2.26237209859766,0.281,0.062,7.82456633683683e-29
"Gla",3.34208652096365e-33,2.0538721422574,0.298,0.071,8.39832921852955e-29
"Phf11d",5.24673955201798e-33,2.03916010422765,0.341,0.101,1.3184531820266e-28
"Ifi206",6.94964790870202e-33,2.08040150746422,0.287,0.067,1.74637702297773e-28
"Gbp9",9.64117807637006e-33,2.31816935888019,0.24,0.041,2.42273163881103e-28
"Plekho2",1.0847555295581e-32,1.18817186740026,0.551,0.235,2.72588217022656e-28
"Efhd2",1.42053119904783e-32,0.826402706962976,0.816,0.558,3.5696528500873e-28
"mt-Atp8",1.63785554472009e-32,1.07158039867581,0.517,0.203,4.11576719832713e-28
"Plbd1",2.91840774703954e-32,1.16968731564528,0.577,0.29,7.33366682753567e-28
"Ms4a6d",4.25487495047728e-32,1.45596383814847,0.633,0.368,1.06920752630543e-27
"Clic4",4.89209368227368e-32,1.20355855888687,0.57,0.279,1.22933422141855e-27
"Il4ra",5.59391702224765e-32,1.53140614191125,0.46,0.182,1.40569540852061e-27
"Apoe",5.62465235407469e-32,-0.96032620169521,0.862,0.896,1.41341889005543e-27
"Pfkp",7.53283723604383e-32,1.87674606568167,0.294,0.071,1.89292666904545e-27
"Rpl39",8.95784648656334e-32,-0.538469794281925,0.974,0.988,2.2510172436085e-27
"Atpif1",9.40829890613816e-32,-0.888531487444911,0.679,0.767,2.36421143212346e-27
"Rab5c",9.60115604404949e-32,0.994919738786354,0.625,0.292,2.4126745023092e-27
"Nmi",1.09084027113717e-31,1.50929588779965,0.355,0.106,2.74117251734059e-27
"Pnp",1.11836555282509e-31,1.25453617534676,0.688,0.405,2.81034079769418e-27
"Rps15a",1.44513785581985e-31,-0.505508965031854,0.988,0.993,3.6314869178897e-27
"Capg",2.23969067298726e-31,1.49540147802607,0.36,0.118,5.62811869214969e-27
"Sell",3.05704059037393e-31,2.78589392352401,0.195,0.024,7.68203729955064e-27
"Isg20",3.90191497107436e-31,3.25954284958368,0.222,0.039,9.80512213081276e-27
"Itm2b",6.15470176642937e-31,-0.559342395563625,0.992,0.991,1.54661500688604e-26
"Ccr1",6.43332756609655e-31,1.58524819338472,0.463,0.2,1.6166308840844e-26
"March1",6.52432111350587e-31,1.41431720621361,0.418,0.146,1.63949665261289e-26
"Hck",8.34664726419885e-31,1.16129263345615,0.544,0.249,2.09742899102053e-26
"Itgb2",1.09778512176584e-30,1.09671901079029,0.561,0.251,2.75862423248537e-26
"Cycs",1.21851480533098e-30,1.1014925043112,0.512,0.21,3.06200585431622e-26
"Slfn4",1.2505787155542e-30,3.75829739292165,0.154,0.008,3.14257925431616e-26
"Rps25",1.79813256169035e-30,-0.46379440710547,0.986,0.997,4.51852731427167e-26
"Mefv",1.95084588397038e-30,2.71184089431329,0.191,0.023,4.90228062182917e-26
"Slfn8",2.18603378265376e-30,1.66358046652056,0.35,0.108,5.49328429243063e-26
"Zyx",2.64151154541614e-30,1.62973106962872,0.453,0.187,6.63785436247622e-26
"Fcgr1",2.67258608196329e-30,1.26985178239417,0.658,0.402,6.71594156536556e-26
"Rpl37",6.02481158360243e-30,-0.507200482903024,0.974,0.995,1.51397490284345e-25
"Ms4a6c",8.20509760919009e-30,1.02017017707673,0.768,0.622,2.06185897821338e-25
"Ifi213",9.97429955643829e-30,1.79982528246805,0.298,0.081,2.50644173553738e-25
"Plek",1.54906079176605e-29,0.811140259528746,0.825,0.574,3.89263486362891e-25
"AI662270",1.5976598534893e-29,1.32361313635527,0.477,0.196,4.01475944583325e-25
"Btg2",1.76482569888519e-29,-0.744536570997138,0.926,0.911,4.4348304987286e-25
"Helz2",2.16202399415111e-29,3.10869497237668,0.171,0.017,5.43295009490233e-25
"Cndp2",2.16650473490385e-29,1.38376234264464,0.527,0.255,5.44420974833988e-25
"Nfkbie",2.40169726439933e-29,1.22225317216517,0.39,0.131,6.03522505570909e-25
"Oas3",2.60467667691513e-29,2.19085993621292,0.235,0.047,6.54529202142003e-25
"Rnf213",2.76290590456567e-29,1.46806762093947,0.454,0.191,6.94290624758307e-25
"Ifi214",4.78718726445372e-29,3.48690884262575,0.154,0.01,1.20297228768457e-24
"Rnf19b",6.12481811763775e-29,1.10842908516519,0.491,0.207,1.53910554478119e-24
"Tcirg1",1.17465300336973e-28,1.26352041157632,0.418,0.154,2.9517855321678e-24
"Jak2",1.3683029150958e-28,2.09093282019643,0.239,0.05,3.43840839534423e-24
"Cnn3",1.39414180847253e-28,2.46029874170627,0.195,0.029,3.50333895051063e-24
"Anpep",1.4147341970825e-28,3.74603582414112,0.163,0.016,3.55508556384862e-24
"Tgtp2",1.93206945874958e-28,3.38910524742404,0.154,0.012,4.85509734289182e-24
"Tmem173",2.64594554823623e-28,1.30084925735851,0.409,0.148,6.64899656816282e-24
"S100a6",3.15108120319062e-28,0.617150861753441,0.617,0.329,7.9183519554977e-24
"Tmsb10",3.53049532271333e-28,1.14202408246466,0.76,0.549,8.87178169644634e-24
"Plaat3",5.21395928724899e-28,1.35360533675241,0.371,0.126,1.3102158292928e-23
"Anxa4",6.6434019527407e-28,1.67980396208022,0.338,0.108,1.66942047670421e-23
"Stat2",7.17977086663248e-28,1.62000605324787,0.316,0.095,1.80420462107608e-23
"Bak1",9.94862994825613e-28,1.57444786910527,0.29,0.079,2.49999121969728e-23
"Ric1",1.05437260389161e-27,2.48375606314471,0.205,0.036,2.64953291631924e-23
"Coa5",1.36419631511984e-27,1.67221877462279,0.289,0.078,3.42808892026463e-23
"Sp100",1.62416927234933e-27,1.04602925220952,0.505,0.224,4.08137496448662e-23
"Gosr2",1.75266498674958e-27,1.86810448190979,0.247,0.056,4.40427184520302e-23
"Rplp1",2.07578209580814e-27,-0.390639563373608,0.996,1,5.21623282855627e-23
"Jund",2.13826726140185e-27,-0.589888664194268,0.907,0.961,5.37325180117671e-23
"Fyn",2.37090163957394e-27,2.41456388854179,0.197,0.033,5.95783873008535e-23
"Rpl36a",2.68545046762757e-27,-0.686688171357435,0.805,0.869,6.74826848010132e-23
"Daxx",3.51917899246019e-27,2.14962766899202,0.283,0.082,8.84334489015321e-23
"AB124611",3.5326335270013e-27,1.32576350768998,0.401,0.153,8.87715479000157e-23
"Rpl35a",6.18614071493551e-27,-0.419933842713621,0.991,0.991,1.55451530025615e-22
"Dck",6.28722285400136e-27,1.8042948832467,0.279,0.077,1.579916230982e-22
"Ndufa4",6.96943341879211e-27,-0.683250849324652,0.723,0.843,1.75134892380827e-22
"Ciita",9.17876885405681e-27,1.68457846357321,0.269,0.071,2.30653282533593e-22
"Gpr171",1.00113447980266e-26,2.34273999754611,0.178,0.025,2.51575083429612e-22
"Ifit3",1.35910479948808e-26,1.69615406134186,0.342,0.122,3.41529445063359e-22
"Cers6",1.58535486652053e-26,1.7049524889842,0.251,0.06,3.98383824407945e-22
"Rnh1",1.69791633884201e-26,1.25899732207404,0.559,0.269,4.26669396787609e-22
"Dhx58",1.81416264332826e-26,1.91872372138917,0.232,0.052,4.55880930641958e-22
"Malt1",1.89284133016651e-26,1.73838973594882,0.334,0.12,4.75652097857543e-22
"Pira2",2.3495847229001e-26,2.19495393963143,0.198,0.035,5.90427145017566e-22
"Stoml3",2.7496337733036e-26,-2.5006723637005,0.159,0.403,6.90955470893461e-22
"Usp18",3.6776200162816e-26,1.90569209697116,0.252,0.065,9.24149133891404e-22
"Vps37b",4.51714986118053e-26,2.00850479930512,0.273,0.077,1.13511458861605e-21
"Ifitm3",5.48588472829108e-26,1.08506856163928,0.762,0.561,1.37854797337227e-21
"AW011738",9.49044017833306e-26,2.53799601897454,0.191,0.034,2.38485271241331e-21
"Fcrls",1.14926783868603e-25,-1.21131894727008,0.248,0.488,2.88799515183413e-21
"S100a5",1.57915102316585e-25,-3.73326418634742,0.164,0.409,3.96824860611347e-21
"Mcub",1.81404567492838e-25,1.46335009469244,0.303,0.092,4.55851537652753e-21
"Ranbp2",1.81828458773442e-25,1.07698990488291,0.466,0.198,4.56916734051783e-21
"S100a10",2.08541287987083e-25,1.02964428215159,0.406,0.171,5.24043402582741e-21
"Ifi35",2.47888803420429e-25,1.37740462174239,0.345,0.12,6.22919774115195e-21
"Gbp8",3.10817028759509e-25,2.37971262187841,0.181,0.029,7.81052111569769e-21
"Irf8",3.4542928255729e-25,0.935031554991036,0.722,0.444,8.68029244138213e-21
"Lars2",3.66696043542853e-25,1.24474194490063,0.544,0.275,9.21470487818834e-21
"Slfn5",3.74879125796632e-25,1.47745807413451,0.537,0.29,9.42033755214357e-21
"Slc15a3",4.93172171760477e-25,0.88744657028234,0.67,0.41,1.2392923504169e-20
"Rnf114",5.09987399575321e-25,1.40637909678577,0.294,0.087,1.28154733639282e-20
"Plekho1",6.39611809151878e-25,1.05250275922448,0.53,0.26,1.60728051521775e-20
"Rap2c",6.85168560946965e-25,1.35591876468644,0.358,0.129,1.72176007680363e-20
"Map1b",7.52394540745418e-25,-1.94108633746951,0.157,0.389,1.89069224143916e-20
"Casp1",8.36334357509704e-25,1.35389923927166,0.354,0.128,2.10162460698614e-20
"Rpl23",1.09202459247379e-24,-0.404893741775938,0.999,1,2.74414859842739e-20
"Mvp",1.51299051871002e-24,1.22764625233067,0.358,0.129,3.80199387446641e-20
"Bsg",1.86526401969059e-24,-0.881700697302326,0.619,0.668,4.68722195508049e-20
"Trf",2.38580173308343e-24,-0.913543317575286,0.546,0.683,5.99528117506536e-20
"Txn1",2.41358394736418e-24,1.16969945062013,0.832,0.646,6.06509510133146e-20
"Cyp4f18",2.63649376751031e-24,1.38702802710791,0.384,0.154,6.62524518837667e-20
"Ifi27l2a",2.82424303534412e-24,0.938042342961474,0.731,0.484,7.09704032351623e-20
"Ms4a6b",2.97092616742166e-24,0.986272970457347,0.683,0.435,7.46564036611389e-20
"Apobec3",3.18142571659559e-24,1.00817275559706,0.446,0.187,7.99460468323307e-20
"Mndal",3.20313068553868e-24,1.13299252176378,0.568,0.296,8.04914709969016e-20
"Irf1",3.92235959550477e-24,0.969787199660601,0.608,0.328,9.85649742754395e-20
"Mapkapk2",3.96149635244762e-24,0.976649455589972,0.47,0.2,9.95484418406563e-20
"Xdh",4.54575080285888e-24,1.60210151398695,0.256,0.071,1.14230171925041e-19
"Ctss",5.44882824011753e-24,0.59754697938812,0.898,0.854,1.36923604845913e-19
"mt-Nd1",6.26133588467646e-24,-0.435024308656813,0.963,0.992,1.57341109446035e-19
"N4bp1",7.64876300058948e-24,1.15287007754554,0.413,0.173,1.92205765441813e-19
"Vim",7.82624131475978e-24,0.7374515910305,0.636,0.368,1.96665617998598e-19
"Gng13",7.88677714134766e-24,-2.51488185303388,0.151,0.378,1.98186822784925e-19
"Treml2",9.33784578117301e-24,2.61806198916455,0.164,0.025,2.34650726635097e-19
"Socs1",9.38413571938487e-24,2.40979137183243,0.244,0.07,2.35813946492422e-19
"Rpl34",1.00766005983849e-23,-0.403836568999421,0.995,0.997,2.53214896436814e-19
"Rnf149",1.02464312442786e-23,1.47851351644286,0.282,0.087,2.57482570737476e-19
"Arpc1b",1.02640975319754e-23,0.524785090001344,0.909,0.727,2.57926506881011e-19
"Cdkn1a",1.05106932163249e-23,1.03379069822004,0.601,0.373,2.64123209833028e-19
"Hpgd",1.09831261104435e-23,-0.914369021237495,0.329,0.554,2.75994976029334e-19
"Tmem106a",1.36578578843884e-23,1.16644431072064,0.409,0.166,3.43208310776797e-19
"Esd",1.39183058156407e-23,0.981077888488245,0.58,0.295,3.49753106841236e-19
"Irgm2",1.45111742802749e-23,2.12565081773301,0.195,0.04,3.64651298489028e-19
"Tmem176b",1.50611690675313e-23,-0.77679603048867,0.641,0.749,3.78472117497994e-19
"Tap2",1.56116205538818e-23,1.05221249327431,0.367,0.132,3.92304412898496e-19
"Csf2rb",1.61537715173418e-23,1.09982480431885,0.479,0.224,4.05928124459281e-19
"Rps20",1.61897758511289e-23,-0.426521193431492,0.991,0.996,4.06832877363017e-19
"Cd9",2.40352345315334e-23,-0.951059705611199,0.396,0.584,6.03981408542902e-19
"Phf11a",2.78920944674343e-23,2.6040868172836,0.175,0.031,7.00900441872155e-19
"Trim30a",4.36212018068642e-23,1.14748108102957,0.509,0.26,1.09615718020469e-18
"Rpl22",4.3660216937099e-23,-0.477624184422759,0.95,0.956,1.09713759141236e-18
"Tapbpl",7.20892247775996e-23,1.50799459453932,0.245,0.067,1.8115301294363e-18
"Cd52",7.2659536932683e-23,0.493992110155324,0.928,0.799,1.82586150358139e-18
"Nfil3",7.57334514799678e-23,1.10648428053308,0.346,0.129,1.90310590224011e-18
"Sp140",7.67804599536443e-23,1.13445768390505,0.38,0.151,1.92941617817513e-18
"Rpl28",8.02258047853725e-23,-0.399785886545459,0.988,0.997,2.01599424845163e-18
"Glipr2",8.56376163897349e-23,2.10973272295073,0.157,0.023,2.15198766225765e-18
"Trafd1",8.77386251416758e-23,1.16398148516395,0.457,0.216,2.20478391118517e-18
"Tor3a",1.0404195946918e-22,1.23726193694143,0.319,0.11,2.61447039950102e-18
"Lilrb4a",1.18452947452072e-22,0.785351761762935,0.73,0.496,2.97660411652311e-18
"Cstb",1.20615691402022e-22,1.19116850206353,0.755,0.528,3.03095170924142e-18
"Nmt1",1.21092713115926e-22,0.818281887608625,0.534,0.248,3.04293878789009e-18
"Fam241a",1.32428524903557e-22,1.96527109382315,0.214,0.054,3.3277964023015e-18
"Dnase1l3",1.91144373977774e-22,2.51358646921526,0.175,0.034,4.80326697368748e-18
"Anxa2",2.0161377853796e-22,1.05881094857981,0.388,0.166,5.0663526408804e-18
"Lat2",2.07727442646474e-22,0.951854628511353,0.443,0.193,5.21998290626324e-18
"Rps12",2.22007490065366e-22,-0.355882114246759,0.993,1,5.57882621785258e-18
"Coro2a",2.33618816257561e-22,1.37309688741382,0.279,0.089,5.87060723373625e-18
"Plin2",3.19079884159509e-22,1.58592798478756,0.424,0.194,8.01815840904431e-18
"Clec2d",3.30698098204184e-22,0.756385278967299,0.565,0.281,8.31011250977294e-18
"Rpl21",4.17586727835755e-22,-0.37394761016344,0.978,0.999,1.04935368837847e-17
"Sirpb1c",6.41013574223083e-22,1.69237793696914,0.185,0.039,1.61080301066519e-17
"Bcl2l11",6.76711810692807e-22,1.04232088244191,0.399,0.167,1.70050910908995e-17
"Hexb",7.4948499719853e-22,-0.95100381763724,0.591,0.698,1.88338084946019e-17
"Cpne2",9.75043175663007e-22,1.71708499200494,0.248,0.075,2.45018599612357e-17
"Msrb1",1.27563334281539e-21,0.890459880030764,0.533,0.282,3.2055390271608e-17
"Mdfic",1.3757853142176e-21,1.21846550453298,0.356,0.14,3.45721091609741e-17
"Carhsp1",1.48815843440964e-21,1.97564807164087,0.209,0.054,3.73959332982799e-17
"Runx3",1.57171688925438e-21,1.1505152215919,0.416,0.19,3.94956737100733e-17
"Sppl2a",1.7044279033069e-21,0.889229416737916,0.552,0.282,4.28305687821991e-17
"Pstpip1",1.83782125997859e-21,1.5657875063019,0.234,0.066,4.61826104420021e-17
"Gpr132",1.90349031121656e-21,1.24344381642429,0.272,0.085,4.78328080305609e-17
"Ogfr",1.94002909099894e-21,1.24414227115486,0.345,0.134,4.87509910277124e-17
"Lrrc8c",1.99967284562498e-21,1.92937688587411,0.172,0.034,5.024977893771e-17
"Il21r",2.09297617305747e-21,1.23444057485503,0.354,0.142,5.25943982527612e-17
"Malat1",2.17161034569897e-21,-0.469242824522746,0.999,1,5.45703963770693e-17
"Ist1",2.62599518199612e-21,1.03100541509168,0.366,0.146,6.59886329283805e-17
"Parp9",2.6813180672424e-21,1.1734182208613,0.332,0.123,6.73788417117343e-17
"Ube2l6",3.18892446453386e-21,1.7769853483125,0.187,0.041,8.01344828692714e-17
"B4galt5",3.26105053983689e-21,1.59371593940092,0.234,0.066,8.19469390155613e-17
"M6pr",3.4198059219605e-21,0.88051019725036,0.578,0.306,8.59363030129454e-17
"Zcchc2",3.64024012196915e-21,1.65919887762378,0.206,0.051,9.14755940249627e-17
"Jpt1",3.69069517242375e-21,0.686830539143725,0.631,0.333,9.27434789878364e-17
"Vav1",4.03292933214054e-21,0.954902897691098,0.426,0.184,1.0134348118736e-16
"Sod2",4.66982133718348e-21,1.36753004936984,0.516,0.282,1.17347940382084e-16
"Omp",4.68215393623884e-21,-2.57895288459211,0.146,0.35,1.17657846263746e-16
