"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Flna",0,1.46789843719127,0.455,0.229,0,"Flna"
"Actr3",0,1.09313477669069,0.741,0.515,0,"Actr3"
"Ccpg1",0,1.72169644739416,0.518,0.293,0,"Ccpg1"
"Csrnp1",0,2.28702767698221,0.381,0.158,0,"Csrnp1"
"Tpd52",0,1.81618756997738,0.615,0.392,0,"Tpd52"
"Tnfaip3",0,2.30365314741671,0.358,0.135,0,"Tnfaip3"
"Arhgap30",0,1.43476079609648,0.389,0.17,0,"Arhgap30"
"Pbxip1",0,1.84086343721304,0.388,0.171,0,"Pbxip1"
"Gng5",0,1.09973331351304,0.924,0.708,0,"Gng5"
"Gcnt2",0,2.22848199992703,0.403,0.188,0,"Gcnt2"
"Celf2",0,1.43742561483778,0.454,0.24,0,"Celf2"
"Btg1",0,1.6207192365515,0.927,0.716,0,"Btg1"
"Lpcat2",0,1.73508085940002,0.369,0.158,0,"Lpcat2"
"Tsc22d4",0,1.33079787127436,0.561,0.352,0,"Tsc22d4"
"Fam32a",0,1.79082324394162,0.435,0.231,0,"Fam32a"
"Junb",0,1.09904002676208,0.945,0.741,0,"Junb"
"Arpc2",0,1.29951387993309,0.963,0.76,0,"Arpc2"
"Arpc3",0,1.2704849833,0.933,0.732,0,"Arpc3"
"Ppp2r5a",0,1.4567704600929,0.403,0.204,0,"Ppp2r5a"
"Akap13",0,1.1710373246226,0.561,0.363,0,"Akap13"
"R3hdm4",0,1.80074783540463,0.421,0.224,0,"R3hdm4"
"Actr2",0,1.2037136786048,0.6,0.404,0,"Actr2"
"Cybb",0,1.64794454115918,0.403,0.21,0,"Cybb"
"Nadk",0,1.71568426419823,0.368,0.175,0,"Nadk"
"Atg3",0,1.77671317758171,0.421,0.23,0,"Atg3"
"Kdm6b",0,1.65717540246462,0.44,0.255,0,"Kdm6b"
"Diaph1",0,1.38766676297097,0.45,0.265,0,"Diaph1"
"Lrrfip1",0,1.28569919279338,0.445,0.262,0,"Lrrfip1"
"Pak2",0,1.26557142771782,0.613,0.43,0,"Pak2"
"Man2b1",0,1.2870650767971,0.39,0.208,0,"Man2b1"
"Txn1",0,1.62955024939532,0.924,0.745,0,"Txn1"
"Picalm",0,1.60292500960261,0.525,0.346,0,"Picalm"
"Emb",0,1.10435183907448,0.568,0.39,0,"Emb"
"Fam107b",0,1.51141714576941,0.376,0.199,0,"Fam107b"
"Capza1",0,1.38432657805428,0.43,0.257,0,"Capza1"
"Fbxl5",0,2.2476045355854,0.356,0.185,0,"Fbxl5"
"Hipk1",0,1.48840669854936,0.387,0.217,0,"Hipk1"
"Coq10b",0,1.43675487412712,0.43,0.26,0,"Coq10b"
"Gadd45b",0,2.52237764011585,0.432,0.262,0,"Gadd45b"
"Rab8b",0,1.46689105636044,0.36,0.192,0,"Rab8b"
"Gnb2",0,0.896251317902843,0.634,0.468,0,"Gnb2"
"Myl12b",0,1.07065764678385,0.817,0.655,0,"Myl12b"
"Grb2",0,1.11494866348707,0.485,0.324,0,"Grb2"
"Tpm3",0,0.880026354289955,0.667,0.508,0,"Tpm3"
"Tkt",0,1.36442001864219,0.495,0.344,0,"Tkt"
"Hmgn2",0,1.19788082127153,0.405,0.257,0,"Hmgn2"
"Rnf130",0,1.16764581612299,0.415,0.267,0,"Rnf130"
"Ssh2",0,1.23483184235604,0.382,0.235,0,"Ssh2"
"Cdc42",0,0.9414085962269,0.917,0.771,0,"Cdc42"
"Nfkbia",0,2.09727483055429,0.593,0.451,0,"Nfkbia"
"Pfn1",0,1.3856947481433,0.996,0.855,0,"Pfn1"
"Degs1",0,1.5654062071099,0.374,0.233,0,"Degs1"
"Ppp1r12a",0,0.993023899013026,0.444,0.304,0,"Ppp1r12a"
"Cdc42se1",0,1.32563149639612,0.372,0.235,0,"Cdc42se1"
"Atp6v0e",0,0.895468875051644,0.582,0.445,0,"Atp6v0e"
"Skil",0,1.20429105820865,0.436,0.306,0,"Skil"
"March7",0,1.66836723839514,0.39,0.262,0,"March7"
"Rab7",0,1.28687438641215,0.447,0.321,0,"Rab7"
"Neat1",0,1.12753979620473,0.821,0.698,0,"Neat1"
"Rab5if",0,1.16712772440805,0.46,0.338,0,"Rab5if"
"Riok3",0,1.16776857880858,0.378,0.259,0,"Riok3"
"1810058I24Rik",0,1.1588264575682,0.39,0.274,0,"1810058I24Rik"
"Cox17",0,1.17098353540588,0.575,0.459,0,"Cox17"
"Ccnl1",0,1.05489404596662,0.512,0.399,0,"Ccnl1"
"Sbno1",0,1.32977554864353,0.405,0.294,0,"Sbno1"
"Phf20l1",0,1.10783888430042,0.392,0.281,0,"Phf20l1"
"Cfl1",0,0.598928136576975,0.958,0.857,0,"Cfl1"
"Cdk11b",0,1.08237469984557,0.415,0.316,0,"Cdk11b"
"Stat3",0,1.10298000700267,0.351,0.252,0,"Stat3"
"Ptpn1",0,1.0256337072361,0.435,0.337,0,"Ptpn1"
"Dusp1",0,1.3225678278834,0.688,0.59,0,"Dusp1"
"D8Ertd738e",0,1.14827842610078,0.607,0.51,0,"D8Ertd738e"
"Capzb",0,0.748871185157413,0.565,0.471,0,"Capzb"
"Arid4a",0,1.09221267625911,0.382,0.289,0,"Arid4a"
"Gabarap",0,0.940819299493898,0.922,0.833,0,"Gabarap"
"Ftl1",0,0.528066282948193,0.993,0.904,0,"Ftl1"
"Timm10b",0,1.15672768626747,0.474,0.386,0,"Timm10b"
"Lamtor4",0,0.940626531277414,0.442,0.365,0,"Lamtor4"
"Sem1",0,0.976008625575749,0.95,0.873,0,"Sem1"
"Sdcbp",0,0.962835294203297,0.559,0.484,0,"Sdcbp"
"Rhoa",0,0.595098470710708,0.807,0.732,0,"Rhoa"
