"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Gm42418",1.76394662399228e-299,1.58106702171852,0.996,0.995,4.4326214714302e-295,"Gm42418"
"Lars2",5.99903339232402e-77,1.26375215991849,0.719,0.478,1.5074971011571e-72,"Lars2"
"Tnfaip2",1.39658321098664e-38,1.24848255811471,0.682,0.491,3.50947395088832e-34,"Tnfaip2"
"Hmgn3",8.11497085081252e-31,-1.30612591310639,0.094,0.23,2.03921102510068e-26,"Hmgn3"
"Ttll7",9.59671917285189e-31,-1.18146949501287,0.109,0.251,2.41155956094595e-26,"Ttll7"
"Prdx2",7.68375367427577e-29,-0.984337070067879,0.159,0.31,1.93085046080876e-24,"Prdx2"
"Serpine2",1.6399010938451e-28,-1.00864101457227,0.122,0.263,4.12090745872336e-24,"Serpine2"
"Rtn1",2.01950716085774e-28,-1.07423711733288,0.128,0.268,5.07481954451941e-24,"Rtn1"
"Rps29",3.61810312385281e-28,0.475171257737947,0.996,0.992,9.09193133992974e-24,"Rps29"
"Prxl2b",4.59721156523593e-28,-1.00179680078554,0.138,0.278,1.15523329422814e-23,"Prxl2b"
"Mgst3",2.68414809282844e-27,-1.39296132963019,0.078,0.198,6.74499574246858e-23,"Mgst3"
"Pcp4l1",4.53749262006593e-27,-1.37403146024288,0.075,0.192,1.14022652049637e-22,"Pcp4l1"
"Cystm1",7.80129461791679e-27,-0.911610106572461,0.158,0.297,1.96038732453631e-22,"Cystm1"
"Aplp1",1.73867547056387e-26,-1.65608889453169,0.051,0.154,4.36911758997995e-22,"Aplp1"
"Spint2",4.1849970868357e-26,-1.62651953228335,0.062,0.171,1.05164791795094e-21,"Spint2"
"Samsn1",1.69002713092538e-25,0.647681317832277,0.723,0.564,4.24686917730238e-21,"Samsn1"
"Dynll2",1.7270103486098e-25,-1.36006810295738,0.062,0.172,4.33980430502158e-21,"Dynll2"
"Hmgn1",5.31740940311366e-25,-1.32863544899472,0.065,0.174,1.33621180890843e-20,"Hmgn1"
"Plek",1.09403832503055e-24,0.828238931374715,0.737,0.601,2.74920890696928e-20,"Plek"
"Ppp1r14b",2.51634437668555e-24,-0.877885150387108,0.166,0.303,6.32332178417312e-20,"Ppp1r14b"
"Stom",3.03060157705565e-24,-0.806441307046871,0.175,0.309,7.61559870298314e-20,"Stom"
"Rpl22l1",3.92153044176366e-24,-0.672023562426134,0.293,0.443,9.85441384710789e-20,"Rpl22l1"
"Sult1d1",5.68370986958139e-24,-0.773495141873853,0.195,0.325,1.42825945312711e-19,"Sult1d1"
"Hnrnpa0",2.7847970182535e-23,-0.803198577987111,0.213,0.369,6.99791642716921e-19,"Hnrnpa0"
"Ldhb",3.34249659983393e-23,-0.77425466688983,0.184,0.314,8.39935970572269e-19,"Ldhb"
"Ncam1",2.27301219910632e-22,-0.650325500594031,0.231,0.371,5.71185235513426e-18,"Ncam1"
"Tsc22d1",2.8291199817368e-22,-0.622040087091192,0.232,0.359,7.1092956021064e-18,"Tsc22d1"
"Rps27",7.11389675340485e-22,0.417746611785327,0.978,0.96,1.78765111516311e-17,"Rps27"
"Chchd10",8.7966190041001e-22,-0.509527900803816,0.303,0.422,2.21050238954031e-17,"Chchd10"
"Akr1a1",1.53955047188119e-21,-0.648187142974243,0.201,0.351,3.86873638079023e-17,"Akr1a1"
"Epcam",3.5302114461579e-21,-0.475475583882818,0.328,0.441,8.87106834305019e-17,"Epcam"
"Selenow",4.90555744386769e-21,-0.581625838763769,0.292,0.412,1.23271753006951e-16,"Selenow"
"Map1lc3a",6.73169697141582e-21,-0.758620051834792,0.21,0.346,1.69160813194708e-16,"Map1lc3a"
