"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Clgn",0,5.83543307258485,0.946,0.026,0,"0","Clgn"
"Adcy3",0,7.0861193823084,0.937,0.019,0,"0","Adcy3"
"1700012B09Rik",0,6.01453379251024,0.965,0.049,0,"0","1700012B09Rik"
"Umodl1",0,7.22988360721029,0.922,0.013,0,"0","Umodl1"
"Ctxn3",0,6.34621558590184,0.923,0.017,0,"0","Ctxn3"
"Ric8b",0,6.6177236482455,0.926,0.022,0,"0","Ric8b"
"Syt1",0,6.06778814462541,0.92,0.022,0,"0","Syt1"
"Plekhb1",0,5.32672862713565,0.973,0.078,0,"0","Plekhb1"
"Acbd7",0,6.29999987096071,0.904,0.018,0,"0","Acbd7"
"Flrt1",0,5.18647991871289,0.928,0.042,0,"0","Flrt1"
"Cntn4",0,5.28908144742537,0.909,0.024,0,"0","Cntn4"
"Aplp1",0,4.81443453674837,0.98,0.096,0,"0","Aplp1"
"Nrn1l",0,7.14221771465689,0.894,0.011,0,"0","Nrn1l"
"Scn9a",0,4.85260385283554,0.966,0.085,0,"0","Scn9a"
"Pcolce2",0,6.04027702151329,0.908,0.027,0,"0","Pcolce2"
"Dcdc2a",0,5.98101377449091,0.933,0.053,0,"0","Dcdc2a"
"Jakmip1",0,5.59474882864711,0.914,0.035,0,"0","Jakmip1"
"Spef2",0,6.36280120091298,0.893,0.018,0,"0","Spef2"
"Elavl3",0,4.20636469353139,0.917,0.047,0,"0","Elavl3"
"Cnga2",0,6.93223944926301,0.876,0.012,0,"0","Cnga2"
"Uchl1",0,3.94315877415885,0.916,0.059,0,"0","Uchl1"
"Tmem74bos",0,6.3616835897206,0.865,0.014,0,"0","Tmem74bos"
"Faim2",0,6.9765084494997,0.861,0.011,0,"0","Faim2"
"Ebf2",0,3.95734018367543,0.894,0.045,0,"0","Ebf2"
"Tspan7",0,5.27068928260778,0.877,0.044,0,"0","Tspan7"
"Tom1",0,5.51671645578053,0.859,0.033,0,"0","Tom1"
"Ttll7",0,4.47749240072986,0.984,0.16,0,"0","Ttll7"
"Fgf12",0,6.08063625733484,0.836,0.017,0,"0","Fgf12"
"Ak1",0,5.66639209935997,0.845,0.027,0,"0","Ak1"
"Cfap69",0,6.17892757758355,0.837,0.019,0,"0","Cfap69"
"Igsf8",0,4.06922187538576,0.91,0.097,0,"0","Igsf8"
"Tspyl4",0,5.09987753518518,0.845,0.038,0,"0","Tspyl4"
"Stom",0,4.93079921629321,0.993,0.187,0,"0","Stom"
"Nrxn1",0,4.21273549798747,0.883,0.08,0,"0","Nrxn1"
"Rufy3",0,4.25240520202269,0.867,0.071,0,"0","Rufy3"
"Fetub",0,3.80145176447956,0.859,0.072,0,"0","Fetub"
"Serpine2",0,3.82068505183109,0.975,0.188,0,"0","Serpine2"
"Pde6d",0,4.39590547052411,0.856,0.072,0,"0","Pde6d"
"Rtn1",0,4.13150028435255,0.95,0.166,0,"0","Rtn1"
"Syt11",0,4.22152051337896,0.841,0.058,0,"0","Syt11"
"Prxl2b",0,4.31844195025197,0.979,0.196,0,"0","Prxl2b"
"Tesc",0,3.16336114684928,0.853,0.072,0,"0","Tesc"
"Pde4a",0,5.50154527229118,0.812,0.031,0,"0","Pde4a"
"Stmn3",0,3.89346195375584,0.814,0.035,0,"0","Stmn3"
"Ncam1",0,3.48396895237779,0.977,0.203,0,"0","Ncam1"
"Olfm1",0,4.7163678167403,0.991,0.218,0,"0","Olfm1"
"Trnp1",0,4.77976569637264,0.803,0.035,0,"0","Trnp1"
"Fam81b",0,6.68119872695096,0.778,0.01,0,"0","Fam81b"
"Lhx2",0,3.24877416283266,0.801,0.036,0,"0","Lhx2"
"Kcnc4",0,7.31206366439117,0.773,0.008,0,"0","Kcnc4"
"Sult1d1",0,3.97682254605899,0.978,0.215,0,"0","Sult1d1"
"Gramd1c",0,6.27171378668375,0.78,0.017,0,"0","Gramd1c"
"Pde1c",0,5.00510149007379,0.802,0.041,0,"0","Pde1c"
"Oscp1",0,5.65731744914026,0.779,0.024,0,"0","Oscp1"
"Snap25",0,5.92737516977766,0.77,0.017,0,"0","Snap25"
"Acsl6",0,6.20720681721708,0.767,0.014,0,"0","Acsl6"
"Rab6b",0,4.07978944978439,0.816,0.065,0,"0","Rab6b"
"Gfy",0,4.79201258933583,0.999,0.252,0,"0","Gfy"
"Cfap36",0,3.59617053629975,0.88,0.134,0,"0","Cfap36"
"Lrriq1",0,5.53898303258696,0.764,0.02,0,"0","Lrriq1"
"Manea",0,5.08706036456902,0.774,0.034,0,"0","Manea"
"Ebf3",0,3.85834817462066,0.785,0.045,0,"0","Ebf3"
"Chga",0,4.99011751973844,1,0.263,0,"0","Chga"
"Hist2h2be",0,5.03975884181318,0.763,0.03,0,"0","Hist2h2be"
"Nsg1",0,4.6438060702895,0.999,0.267,0,"0","Nsg1"
"Klhl5",0,4.02486353432807,0.805,0.078,0,"0","Klhl5"
"Prnp",0,3.33780019805555,0.85,0.123,0,"0","Prnp"
"Uncx",0,4.00010666348796,0.754,0.031,0,"0","Uncx"
"Them6",0,5.16010315910993,0.75,0.029,0,"0","Them6"
"Ank2",0,4.16729918759092,0.768,0.048,0,"0","Ank2"
"Cnga4",0,7.65554619708123,0.723,0.006,0,"0","Cnga4"
"Gpm6a",0,3.75954827230593,0.784,0.068,0,"0","Gpm6a"
"Mlf1",0,4.16905902874999,0.75,0.036,0,"0","Mlf1"
"Impdh1",0,4.47199738329693,0.758,0.045,0,"0","Impdh1"
"Prxl2a",0,3.78676661675299,0.815,0.102,0,"0","Prxl2a"
"Cartpt",0,4.98295839984513,0.735,0.023,0,"0","Cartpt"
"Fam92b",0,5.39626241162015,0.727,0.019,0,"0","Fam92b"
"Fstl5",0,4.29253621980624,0.999,0.292,0,"0","Fstl5"
"Ip6k2",0,4.35824459487794,0.765,0.061,0,"0","Ip6k2"
"Eml2",0,4.49821908925873,0.758,0.056,0,"0","Eml2"
"Mapk8ip2",0,5.43405869936137,0.721,0.02,0,"0","Mapk8ip2"
"Ttll6",0,6.0929905221429,0.714,0.014,0,"0","Ttll6"
"Cystm1",0,2.97893837288067,0.956,0.258,0,"0","Cystm1"
"Efna3",0,5.83243898121582,0.714,0.018,0,"0","Efna3"
"Eef1a2",0,5.75056391488557,0.708,0.013,0,"0","Eef1a2"
"Epha5",0,4.86298268425694,0.738,0.043,0,"0","Epha5"
"Mgst3",0,2.95839930140686,0.926,0.232,0,"0","Mgst3"
"Carns1",0,5.95411895000024,0.708,0.014,0,"0","Carns1"
"Atf5",0,4.11546710024153,0.998,0.305,0,"0","Atf5"
"Fam131c",0,5.88748407011984,0.706,0.013,0,"0","Fam131c"
"Id4",0,3.45024968847046,0.771,0.079,0,"0","Id4"
"Ift43",0,3.44595660147993,0.797,0.106,0,"0","Ift43"
"Gnal",0,5.17110223755841,1,0.311,0,"0","Gnal"
"Myo6",0,3.70137622500544,0.97,0.281,0,"0","Myo6"
"Rab3a",0,4.3624703893667,0.734,0.046,0,"0","Rab3a"
"Cngb1",0,6.80554789177309,0.697,0.009,0,"0","Cngb1"
"Homer2",0,3.39694922340559,0.754,0.067,0,"0","Homer2"
"Sgpl1",0,3.54589759244575,0.82,0.133,0,"0","Sgpl1"
"Ormdl3",0,3.56330373007717,0.82,0.133,0,"0","Ormdl3"
"Rtp2",0,5.97741357392827,0.698,0.014,0,"0","Rtp2"
"Arl3",0,3.17478506051869,0.852,0.168,0,"0","Arl3"
"Gm11992",0,7.66494346065996,0.689,0.006,0,"0","Gm11992"
"Rtp1",0,5.83240327750149,0.694,0.015,0,"0","Rtp1"
"Abhd16a",0,3.50378321885204,0.798,0.121,0,"0","Abhd16a"
"Myt1l",0,3.80049129344483,0.699,0.03,0,"0","Myt1l"
"Slc17a6",0,6.25984064169635,0.678,0.012,0,"0","Slc17a6"
"Tubb3",0,3.23632434120432,0.703,0.037,0,"0","Tubb3"
"Rap1gds1",0,3.36544980280718,0.785,0.122,0,"0","Rap1gds1"
"Lrguk",0,6.2754371624834,0.675,0.012,0,"0","Lrguk"
"Omp",0,5.46771547969391,1,0.339,0,"0","Omp"
"Spock1",0,4.61941336168392,0.683,0.026,0,"0","Spock1"
"Faim",0,3.18488988124761,0.77,0.12,0,"0","Faim"
"Strbp",0,2.67146614930038,0.87,0.223,0,"0","Strbp"
"Ahi1",0,3.36399965167697,0.745,0.098,0,"0","Ahi1"
"Enkur",0,5.64163126292467,0.659,0.014,0,"0","Enkur"
"Ano2",0,7.38877930811342,0.651,0.006,0,"0","Ano2"
"Endod1",0,3.49295273314165,0.746,0.101,0,"0","Endod1"
"Slc1a2",0,7.2057720521604,0.65,0.007,0,"0","Slc1a2"
"Mycbp",0,3.56077285441591,0.735,0.093,0,"0","Mycbp"
"Stmn2",0,1.85840234494112,0.686,0.047,0,"0","Stmn2"
"Efcab10",0,5.31682738952456,0.652,0.015,0,"0","Efcab10"
"Tstd1",0,5.54329893793,0.652,0.016,0,"0","Tstd1"
"Clstn1",0,2.76228622726855,0.83,0.194,0,"0","Clstn1"
"Hmgn3",0,2.80712477851318,0.912,0.278,0,"0","Hmgn3"
"Rsph9",0,4.48019549531744,0.672,0.038,0,"0","Rsph9"
"Stoml3",0,5.92104263979263,1,0.367,0,"0","Stoml3"
"Clstn2",0,6.0464819256579,0.644,0.012,0,"0","Clstn2"
"Spa17",0,4.51373100209872,0.664,0.033,0,"0","Spa17"
"Ift74",0,3.71226466772572,0.701,0.071,0,"0","Ift74"
"Snca",0,4.755784981218,0.654,0.024,0,"0","Snca"
"Ssx2ip",0,3.58495486549803,0.715,0.086,0,"0","Ssx2ip"
"Tspan3",0,2.60640925542647,0.826,0.199,0,"0","Tspan3"
"Rd3",0,5.17736915907358,0.643,0.018,0,"0","Rd3"
"Camk2d",0,2.54331642428767,0.837,0.212,0,"0","Camk2d"
"Ptp4a3",0,2.48847016807961,0.783,0.158,0,"0","Ptp4a3"
"Kifap3",0,3.31256939875149,0.723,0.1,0,"0","Kifap3"
"Cmip",0,3.16530548226705,0.941,0.318,0,"0","Cmip"
"Stmn4",0,5.13581663244063,0.641,0.018,0,"0","Stmn4"
"Gng13",0,5.18021502334783,1,0.377,0,"0","Gng13"
"Nat14",0,5.77025380504137,0.636,0.015,0,"0","Nat14"
"Cacnb3",0,5.15880811406385,0.642,0.024,0,"0","Cacnb3"
"Aig1",0,3.20360814515458,0.738,0.125,0,"0","Aig1"
"Dnajb14",0,2.85227263799307,0.79,0.18,0,"0","Dnajb14"
"Ncapg2",0,3.73790986130042,0.668,0.059,0,"0","Ncapg2"
"Zfp385b",0,5.51625898234545,0.625,0.017,0,"0","Zfp385b"
"Pygo1",0,4.60791689914566,0.641,0.033,0,"0","Pygo1"
"Ivns1abp",0,2.44587282827259,0.844,0.24,0,"0","Ivns1abp"
"Ppa1",0,3.13705985717181,0.813,0.209,0,"0","Ppa1"
"Slc24a2",0,5.51338120749479,0.62,0.017,0,"0","Slc24a2"
"Fam217a",0,6.3571906796432,0.612,0.009,0,"0","Fam217a"
"Pex5l",0,5.59967762656981,0.616,0.015,0,"0","Pex5l"
"Fam13a",0,4.76243973722002,0.631,0.031,0,"0","Fam13a"
"BC049352",0,5.11564115263795,0.619,0.02,0,"0","BC049352"
"Ank3",0,2.98179937800469,0.705,0.106,0,"0","Ank3"
"Ldhb",0,2.24764576624072,0.925,0.327,0,"0","Ldhb"
"Ephx4",0,6.50476009396592,0.605,0.008,0,"0","Ephx4"
"Traf3ip1",0,4.13823257717376,0.641,0.045,0,"0","Traf3ip1"
"Cep290",0,3.34634135346845,0.693,0.098,0,"0","Cep290"
"Ppp1r14c",0,4.58725708557183,0.615,0.024,0,"0","Ppp1r14c"
"Ebf1",0,1.41612797173111,0.963,0.373,0,"0","Ebf1"
"Kif1a",0,4.53896071672355,0.615,0.026,0,"0","Kif1a"
"Cplx2",0,4.08048582318524,0.623,0.035,0,"0","Cplx2"
"Rnf128",0,4.73992234418051,0.621,0.034,0,"0","Rnf128"
"Gnao1",0,3.56999602833239,0.642,0.057,0,"0","Gnao1"
"Pifo",0,5.33334677876246,0.598,0.014,0,"0","Pifo"
"1110017D15Rik",0,4.77336615472493,0.599,0.017,0,"0","1110017D15Rik"
"Cfap20",0,2.82936995807919,0.731,0.149,0,"0","Cfap20"
"Scg5",0,4.99589548861075,0.6,0.02,0,"0","Scg5"
"Elmod3",0,5.09941111720348,0.601,0.021,0,"0","Elmod3"
"Tarsl2",0,5.18545814914788,0.599,0.021,0,"0","Tarsl2"
"Agtpbp1",0,3.61336633064841,0.646,0.07,0,"0","Agtpbp1"
"Pkib",0,2.95442692364345,0.668,0.096,0,"0","Pkib"
"S100a5",0,6.54138104985942,0.95,0.378,0,"0","S100a5"
"Gm13648",0,3.99465385648495,0.602,0.03,0,"0","Gm13648"
"Kirrel2",0,6.52660043414526,0.581,0.009,0,"0","Kirrel2"
"Wdsub1",0,3.92571297530967,0.629,0.058,0,"0","Wdsub1"
"A730046J19Rik",0,6.72746595415103,0.579,0.008,0,"0","A730046J19Rik"
"AC109619.1",0,5.26027402083195,0.585,0.017,0,"0","AC109619.1"
"Spef1",0,5.20822119633638,0.585,0.018,0,"0","Spef1"
"Selenot",0,2.3874336565621,0.84,0.273,0,"0","Selenot"
"Prrc2b",0,2.31003177001065,0.861,0.296,0,"0","Prrc2b"
"Abca5",0,4.43318112386625,0.603,0.038,0,"0","Abca5"
"Ptprs",0,3.11277704272802,0.669,0.105,0,"0","Ptprs"
"Ttll3",0,4.79173633063471,0.587,0.024,0,"0","Ttll3"
"Cbx4",0,3.12466200537275,0.689,0.128,0,"0","Cbx4"
"Rundc3a",0,5.04536484211465,0.578,0.019,0,"0","Rundc3a"
"Gadl1",0,6.3431978553857,0.566,0.008,0,"0","Gadl1"
"Ppp1r1a",0,4.26589438900182,0.588,0.03,0,"0","Ppp1r1a"
"Pkia",0,4.59078032550491,0.584,0.028,0,"0","Pkia"
"Chchd10",0,2.30460438528469,0.961,0.405,0,"0","Chchd10"
"Ttc21a",0,5.69545794756319,0.565,0.012,0,"0","Ttc21a"
"Tshz2",0,3.47072802601135,0.995,0.443,0,"0","Tshz2"
"Dynll2",0,2.22044089249762,0.851,0.299,0,"0","Dynll2"
"Plxna4",0,4.03541493238886,0.586,0.037,0,"0","Plxna4"
"Auts2",0,2.16513051361784,0.735,0.187,0,"0","Auts2"
"Exoc6b",0,3.59272635851948,0.626,0.078,0,"0","Exoc6b"
"Fmn2",0,5.33385701134243,0.565,0.017,0,"0","Fmn2"
"Cebpg",0,2.06516864734871,0.751,0.209,0,"0","Cebpg"
"Cfap298",0,3.30898924779192,0.625,0.083,0,"0","Cfap298"
"Rsph1",0,4.41652205775626,0.562,0.021,0,"0","Rsph1"
"Ccdc39",0,5.17824277675443,0.556,0.016,0,"0","Ccdc39"
"Psip1",0,1.94337016945733,0.909,0.369,0,"0","Psip1"
"Nxnl2",0,6.0819988435218,0.548,0.01,0,"0","Nxnl2"
"Cep126",0,4.41364216294678,0.567,0.029,0,"0","Cep126"
"Celf4",0,5.01290284336209,0.563,0.025,0,"0","Celf4"
"Rnf182",0,3.73844263355226,0.565,0.029,0,"0","Rnf182"
"Rabgap1l",0,2.48219184160921,0.677,0.142,0,"0","Rabgap1l"
"Pak3",0,5.19173569024471,0.553,0.018,0,"0","Pak3"
"Cpe",0,1.74580450492063,0.651,0.117,0,"0","Cpe"
"Slc12a2",0,1.75496993652066,0.73,0.197,0,"0","Slc12a2"
"5730403I07Rik",0,5.80725994562516,0.544,0.012,0,"0","5730403I07Rik"
"Kcnma1",0,3.7964954655124,0.582,0.05,0,"0","Kcnma1"
"Riiad1",0,4.92747236663856,0.543,0.013,0,"0","Riiad1"
"Arhgdig",0,2.30665961358753,0.574,0.044,0,"0","Arhgdig"
"Rufy2",0,3.28162147417024,0.601,0.072,0,"0","Rufy2"
"Map1b",0,3.19545659779835,0.999,0.47,0,"0","Map1b"
"Msi2",0,2.32677476844739,0.933,0.406,0,"0","Msi2"
"Med21",0,2.51603784867968,0.701,0.174,0,"0","Med21"
"Cisd1",0,2.07202945200511,0.737,0.211,0,"0","Cisd1"
"Tmem63b",0,3.20632783481002,0.612,0.087,0,"0","Tmem63b"
"Slc8a1",0,3.83410809606092,0.582,0.059,0,"0","Slc8a1"
"Hspa4l",0,2.74179946292172,0.633,0.111,0,"0","Hspa4l"
"Nxph3",0,5.55809477356245,0.536,0.014,0,"0","Nxph3"
"Slc4a4",0,4.04472389797702,0.561,0.04,0,"0","Slc4a4"
"Dzip1l",0,4.69852169265551,0.544,0.023,0,"0","Dzip1l"
"Sgtb",0,5.46599550585492,0.535,0.014,0,"0","Sgtb"
"Pcp4l1",0,3.7539225302183,0.706,0.185,0,"0","Pcp4l1"
"Rab6a",0,2.14403687462367,0.751,0.231,0,"0","Rab6a"
"Mslnl",0,6.02120568660204,0.529,0.011,0,"0","Mslnl"
"Rp2",0,3.09468133795567,0.617,0.099,0,"0","Rp2"
"Syt7",0,4.60387048796234,0.538,0.021,0,"0","Syt7"
"Adipor1",0,2.1446339312165,0.898,0.382,0,"0","Adipor1"
"Dynlrb2",0,4.13841062849946,0.531,0.016,0,"0","Dynlrb2"
"Rab28",0,2.88493681676472,0.621,0.107,0,"0","Rab28"
"Kif3a",0,3.31019948333511,0.581,0.067,0,"0","Kif3a"
"Bex2",0,4.08617171949449,0.544,0.03,0,"0","Bex2"
"Map1a",0,4.41389070155606,0.542,0.029,0,"0","Map1a"
"Ift81",0,3.68486451300662,0.566,0.053,0,"0","Ift81"
"Mapk10",0,5.00842404120535,0.529,0.017,0,"0","Mapk10"
"Tuba1a",0,3.00880889249599,0.998,0.488,0,"0","Tuba1a"
"Kcna2",0,4.23128563421316,0.531,0.023,0,"0","Kcna2"
"Ckb",0,3.66639946879917,0.997,0.49,0,"0","Ckb"
"Cend1",0,5.61457662302129,0.518,0.012,0,"0","Cend1"
"Pth2",0,7.6495806602791,0.508,0.004,0,"0","Pth2"
"Srcin1",0,4.74658888087434,0.526,0.022,0,"0","Srcin1"
"Ccdc34",0,2.33675482133375,0.648,0.145,0,"0","Ccdc34"
"Kcnmb2",0,5.59850662927207,0.515,0.012,0,"0","Kcnmb2"
"1700016K19Rik",0,5.24609245504831,0.512,0.011,0,"0","1700016K19Rik"
"Ccdc30",0,5.08368991352116,0.515,0.016,0,"0","Ccdc30"
"Lrrn1",0,5.53955276986935,0.513,0.014,0,"0","Lrrn1"
"Syp",0,5.63059453627729,0.511,0.012,0,"0","Syp"
"Psen2",0,2.77679841580864,0.612,0.115,0,"0","Psen2"
"Glcci1",0,2.89679301624336,0.588,0.091,0,"0","Glcci1"
"Scg3",0,4.78418945918083,0.509,0.014,0,"0","Scg3"
"Lztfl1",0,2.49863832343747,0.63,0.135,0,"0","Lztfl1"
"BC051077",0,5.99859763351781,0.503,0.009,0,"0","BC051077"
"Cdkl4",0,5.72873692004764,0.504,0.01,0,"0","Cdkl4"
"Pgam1",0,1.84739293400052,0.892,0.399,0,"0","Pgam1"
"Nudc",0,1.92173828186382,0.822,0.331,0,"0","Nudc"
"Retreg1",0,2.02268977823424,0.67,0.18,0,"0","Retreg1"
"Saraf",0,2.27879166509823,0.946,0.456,0,"0","Saraf"
"Mapk8ip1",0,3.99830149226879,0.524,0.035,0,"0","Mapk8ip1"
"Gdap1",0,4.94351031192472,0.501,0.016,0,"0","Gdap1"
"Erich3",0,5.87774012236558,0.494,0.009,0,"0","Erich3"
"1500011B03Rik",0,2.68229125209573,0.593,0.108,0,"0","1500011B03Rik"
"Cfap126",0,4.99810478256554,0.496,0.012,0,"0","Cfap126"
"Kif1bp",0,3.36077720330028,0.549,0.066,0,"0","Kif1bp"
"Stxbp5l",0,5.94080899156749,0.493,0.01,0,"0","Stxbp5l"
"Tmem107",0,3.8507498572729,0.522,0.04,0,"0","Tmem107"
"Ndrg3",0,3.20839795223956,0.55,0.07,0,"0","Ndrg3"
"Ccdc157",0,4.89637330791186,0.494,0.019,0,"0","Ccdc157"
"Rbm15b",0,3.14527818736012,0.531,0.063,0,"0","Rbm15b"
"Srgap1",0,3.73890665112822,0.503,0.036,0,"0","Srgap1"
"Hist1h2bc",0,1.74416864838198,0.7,0.234,0,"0","Hist1h2bc"
"Iqcg",0,5.23590279527218,0.478,0.012,0,"0","Iqcg"
"Limch1",0,2.94074010234463,0.521,0.056,0,"0","Limch1"
"Iqub",0,6.23852644380177,0.472,0.007,0,"0","Iqub"
"Dusp8",0,4.15381899480215,0.499,0.034,0,"0","Dusp8"
"Appl1",0,2.11152582610283,0.642,0.178,0,"0","Appl1"
"Mcf2l",0,3.30777170644671,0.51,0.047,0,"0","Mcf2l"
"Ypel3",0,1.61724311306678,0.847,0.384,0,"0","Ypel3"
"BC031181",0,1.7612344605787,0.826,0.363,0,"0","BC031181"
"Kif1b",0,1.92526128061581,0.694,0.232,0,"0","Kif1b"
"Kat6a",0,1.9274474188753,0.688,0.226,0,"0","Kat6a"
"Ppp2r2c",0,6.1750420394523,0.468,0.007,0,"0","Ppp2r2c"
"Arhgef28",0,3.95661255245679,0.496,0.035,0,"0","Arhgef28"
"Lias",0,2.74482384755859,0.561,0.101,0,"0","Lias"
"Kras",0,1.64912305060326,0.75,0.29,0,"0","Kras"
"Cspp1",0,2.09431374604834,0.628,0.169,0,"0","Cspp1"
"Wdr54",0,5.79618079748616,0.468,0.01,0,"0","Wdr54"
"Meig1",0,5.01349555923564,0.469,0.011,0,"0","Meig1"
"Kcnb1",0,4.25293971881365,0.484,0.026,0,"0","Kcnb1"
"Cacybp",0,1.82604963165171,0.721,0.265,0,"0","Cacybp"
"Dner",0,5.06768352157708,0.469,0.015,0,"0","Dner"
"Hjurp",0,2.377470818881,0.596,0.142,0,"0","Hjurp"
"Ssbp2",0,2.03941976524888,0.596,0.143,0,"0","Ssbp2"
"Lman2l",0,2.93232053736362,0.53,0.078,0,"0","Lman2l"
"Cldn9",0,4.33338777534227,0.477,0.025,0,"0","Cldn9"
"B230369F24Rik",0,5.15851007489947,0.466,0.015,0,"0","B230369F24Rik"
"Ksr2",0,5.15050239633118,0.465,0.014,0,"0","Ksr2"
"Pfn2",0,3.21591597928535,0.507,0.058,0,"0","Pfn2"
"Glb1l2",0,5.28938714412596,0.462,0.013,0,"0","Glb1l2"
"Ubxn2a",0,2.07431101458758,0.632,0.183,0,"0","Ubxn2a"
"Dync2h1",0,3.74976357981644,0.491,0.043,0,"0","Dync2h1"
"Klf7",0,1.72788599714344,0.63,0.184,0,"0","Klf7"
"1110032A03Rik",0,2.83656943498796,0.531,0.085,0,"0","1110032A03Rik"
"Bcl7a",0,1.78305098859536,0.565,0.119,0,"0","Bcl7a"
"A430035B10Rik",0,4.26543533100924,0.47,0.024,0,"0","A430035B10Rik"
"Rab3b",0,4.95978631412072,0.46,0.015,0,"0","Rab3b"
"Nme7",0,2.78573050002124,0.535,0.091,0,"0","Nme7"
"Tnrc6c",0,1.6667585790642,0.793,0.349,0,"0","Tnrc6c"
"Rfx3",0,4.02658846464368,0.476,0.032,0,"0","Rfx3"
"Dbndd2",0,2.55062865133863,0.55,0.109,0,"0","Dbndd2"
"Arl6",0,3.98534569233519,0.475,0.034,0,"0","Arl6"
"Ccp110",0,3.53706029101184,0.477,0.037,0,"0","Ccp110"
"Gm13589",0,5.87189274098219,0.446,0.008,0,"0","Gm13589"
"Scrn1",0,4.87645697896995,0.455,0.017,0,"0","Scrn1"
"Trarg1",0,5.69405378126491,0.447,0.009,0,"0","Trarg1"
"Scn4b",0,6.37079660389291,0.443,0.006,0,"0","Scn4b"
"Vamp2",0,2.20019810907865,0.574,0.138,0,"0","Vamp2"
"Osbpl1a",0,2.52041690284337,0.528,0.093,0,"0","Osbpl1a"
"Trim66",0,4.16371263277461,0.454,0.019,0,"0","Trim66"
"Cacna2d1",0,3.44161766134682,0.474,0.04,0,"0","Cacna2d1"
"Psmc5",0,1.70549654344883,0.724,0.29,0,"0","Psmc5"
"Tpd52l2",0,2.04399007316679,0.613,0.18,0,"0","Tpd52l2"
"Pclo",0,2.46460137316657,0.515,0.084,0,"0","Pclo"
"Btbd8",0,4.12535858981956,0.459,0.028,0,"0","Btbd8"
"Ncoa1",0,2.19567000443934,0.574,0.143,0,"0","Ncoa1"
"Elmod1",0,6.17199546849938,0.437,0.007,0,"0","Elmod1"
"Lingo1",0,5.36450878478847,0.442,0.012,0,"0","Lingo1"
"Rfk",0,1.76811772508154,0.584,0.154,0,"0","Rfk"
"Sept3",0,3.83691338822388,0.46,0.031,0,"0","Sept3"
"Slc16a11",0,1.85046873693512,0.537,0.109,0,"0","Slc16a11"
"Npdc1",0,2.43916736914889,0.54,0.113,0,"0","Npdc1"
"Slc27a2",0,2.43942156304936,0.502,0.075,0,"0","Slc27a2"
"Casc4",0,2.38042393143265,0.532,0.106,0,"0","Casc4"
"Acbd5",0,1.88902446746767,0.627,0.201,0,"0","Acbd5"
"Kif5a",0,4.47082339376364,0.445,0.019,0,"0","Kif5a"
"Sae1",0,2.25954561719621,0.558,0.133,0,"0","Sae1"
"Tmem178b",0,5.55351655456091,0.434,0.01,0,"0","Tmem178b"
"Pten",0,1.46781747650847,0.73,0.306,0,"0","Pten"
"Grsf1",0,2.57466474382594,0.534,0.111,0,"0","Grsf1"
"Dnm1",0,4.90182324867728,0.439,0.016,0,"0","Dnm1"
"Ptdss2",0,3.77486671880314,0.461,0.039,0,"0","Ptdss2"
"Odf2l",0,3.44383713846273,0.472,0.05,0,"0","Odf2l"
"Ttc9",0,4.41952352387766,0.446,0.024,0,"0","Ttc9"
"2210016L21Rik",0,2.23064853826659,0.56,0.139,0,"0","2210016L21Rik"
"Apbb1",0,3.58065560462068,0.457,0.038,0,"0","Apbb1"
"Zc2hc1a",0,2.83540990127079,0.493,0.074,0,"0","Zc2hc1a"
"Stx2",0,3.08582945948918,0.48,0.061,0,"0","Stx2"
"Khdrbs3",0,3.05410818740722,0.486,0.067,0,"0","Khdrbs3"
"Lrrc59",0,2.08608798217952,0.585,0.166,0,"0","Lrrc59"
"Adgrl3",0,3.2106691317283,0.467,0.049,0,"0","Adgrl3"
"Arhgap5",0,1.58749262559898,0.679,0.261,0,"0","Arhgap5"
"Cby1",0,2.88533400339678,0.484,0.066,0,"0","Cby1"
"Ppp1r14b",0,1.71529361407236,0.871,0.453,0,"0","Ppp1r14b"
"Rtn3",0,1.53015269993071,0.761,0.343,0,"0","Rtn3"
"Atp1b1",0,2.20242313322533,0.996,0.579,0,"0","Atp1b1"
"Oip5os1",0,1.53680385579333,0.701,0.284,0,"0","Oip5os1"
"Pfdn2",0,1.59078100817648,0.716,0.3,0,"0","Pfdn2"
"Cfap206",0,5.5001406817356,0.424,0.009,0,"0","Cfap206"
"Nwd1",0,5.22443340250053,0.43,0.015,0,"0","Nwd1"
"Dtna",0,3.77104053097808,0.446,0.032,0,"0","Dtna"
"Ccdc33",0,6.28753487750343,0.42,0.006,0,"0","Ccdc33"
"Tusc3",0,2.51578319016096,0.513,0.1,0,"0","Tusc3"
"A830018L16Rik",0,5.21618232734125,0.425,0.012,0,"0","A830018L16Rik"
"Add2",0,4.68985801191705,0.429,0.016,0,"0","Add2"
"Spock2",0,2.84800687815677,0.439,0.028,0,"0","Spock2"
"B830017H08Rik",0,6.20243801500186,0.418,0.007,0,"0","B830017H08Rik"
"Magi2",0,4.03840984618312,0.441,0.031,0,"0","Magi2"
"Lpcat4",0,4.17881478779257,0.438,0.028,0,"0","Lpcat4"
"Cdkl2",0,4.0906392321321,0.438,0.028,0,"0","Cdkl2"
"Spint2",0,0.994065003205441,0.735,0.325,0,"0","Spint2"
"Dlg2",0,6.8515761845661,0.421,0.011,0,"0","Dlg2"
