"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lamp27",3.8028267430454e-05,0.525834605868903,0.684,0.427,0.955612332259879,"19","Lamp2"
"Ube2e31",3.90769673772748e-05,0.853750180254743,0.43,0.213,0.981965113223538,"19","Ube2e3"
"Acp13",4.01613842738142e-05,0.713177083322884,0.506,0.28,1,"19","Acp1"
"Ist11",4.03530738420483e-05,1.03066054464034,0.38,0.172,1,"19","Ist1"
"Sem13",4.17393647025888e-05,0.525403177024654,0.962,0.879,1,"19","Sem1"
"Appl12",4.21690104842342e-05,0.534480967514474,0.468,0.265,1,"19","Appl1"
"Chchd13",4.52523390128713e-05,0.820857816047691,0.532,0.287,1,"19","Chchd1"
"Nampt1",5.08068455315288e-05,1.38978840759253,0.367,0.154,1,"19","Nampt"
"Slc9a3r14",5.78386209993028e-05,1.23198645637553,0.418,0.189,1,"19","Slc9a3r1"
"Phf141",5.92281680921251e-05,0.881237145702523,0.468,0.235,1,"19","Phf14"
"Mrps211",6.68992274052852e-05,0.599549674574472,0.595,0.351,1,"19","Mrps21"
"Psma31",6.85124752206235e-05,0.601760548482214,0.848,0.626,1,"19","Psma3"
"Glo12",7.17981646983263e-05,0.880361359991573,0.456,0.232,1,"19","Glo1"
"Tmem165",7.25581558796892e-05,1.00731971665347,0.367,0.164,1,"19","Tmem165"
"Atp6ap22",7.68837634696539e-05,0.63166321669967,0.57,0.329,1,"19","Atp6ap2"
"Eny25",8.11446145569625e-05,0.694004343078204,0.506,0.283,1,"19","Eny2"
"Snrnp702",8.38823170994419e-05,0.775712230202701,0.671,0.524,1,"19","Snrnp70"
"Cpne31",9.96662756809888e-05,0.903083396977059,0.418,0.203,1,"19","Cpne3"
"Uri1",0.000103703168543994,1.25622190302629,0.367,0.156,1,"19","Uri1"
"Pts",0.000103758203830231,1.22391194668188,0.418,0.207,1,"19","Pts"
"Cnpy26",0.000104623496554393,0.661943949219749,0.544,0.313,1,"19","Cnpy2"
"Metap22",0.00010466907549279,0.616929183860258,0.671,0.419,1,"19","Metap2"
"Matr3",0.000107667858356362,0.673334785332321,0.443,0.239,1,"19","Matr3"
"Sqstm13",0.000109880345085222,0.685721508322222,0.544,0.314,1,"19","Sqstm1"
"Thoc73",0.000110068757888406,1.03767532515653,0.519,0.29,1,"19","Thoc7"
"Mrpl342",0.00011404260022539,0.828526316032646,0.418,0.218,1,"19","Mrpl34"
"Myl12a5",0.000122058924187821,0.836664544657035,0.684,0.469,1,"19","Myl12a"
"Wdr611",0.000124207720745183,1.16505796575297,0.43,0.207,1,"19","Wdr61"
"Slirp",0.000124838740847279,0.798426254942745,0.456,0.236,1,"19","Slirp"
"Specc1l",0.000125546963917125,1.05834341931932,0.354,0.157,1,"19","Specc1l"
"Psenen1",0.00013939836898666,0.581982519816224,0.709,0.463,1,"19","Psenen"
"Ddrgk13",0.0001399371695908,0.701761655204342,0.633,0.383,1,"19","Ddrgk1"
"Anapc134",0.000143889784465181,0.927164389312667,0.582,0.353,1,"19","Anapc13"
"Ccdc473",0.000149523783165404,0.73414749559899,0.506,0.285,1,"19","Ccdc47"
"Ctnna17",0.000150324369215465,0.588364935510067,0.544,0.324,1,"19","Ctnna1"
"Ggh1",0.000160342316682872,1.20217601645627,0.392,0.18,1,"19","Ggh"
"Hspa42",0.000192804590522798,0.510783629936528,0.633,0.398,1,"19","Hspa4"
"Smpdl3a5",0.000204926578475278,0.833764647877541,0.456,0.236,1,"19","Smpdl3a"
"Fkbp35",0.000205084618489783,0.651764621836515,0.57,0.34,1,"19","Fkbp3"
"Hdac21",0.000209238791947877,0.987011829106994,0.354,0.158,1,"19","Hdac2"
"Ndufa31",0.000211590627698679,0.650352426442501,0.747,0.513,1,"19","Ndufa3"
"Vgll42",0.00023590155460501,0.522212289222352,0.418,0.242,1,"19","Vgll4"
"Bri33",0.000245728125328688,0.512546651768065,0.823,0.597,1,"19","Bri3"
"Uqcr115",0.000262905696632736,0.599537445178302,0.835,0.664,1,"19","Uqcr11"
"P4hb4",0.000269936317787012,0.748080498230286,0.557,0.325,1,"19","P4hb"
"Hmgn52",0.000273098622669229,1.00571158885266,0.392,0.189,1,"19","Hmgn5"
"Tgif1",0.000290418162888237,0.997413649420802,0.354,0.16,1,"19","Tgif1"
"Dcaf81",0.000301651816942069,0.763078600282286,0.443,0.234,1,"19","Dcaf8"
"Paics2",0.000307305568974112,0.909620411722972,0.405,0.202,1,"19","Paics"
"Psmb63",0.000319232782175653,0.605319605736475,0.722,0.485,1,"19","Psmb6"
"Hmgn18",0.000339447891600199,0.569377937482267,0.747,0.51,1,"19","Hmgn1"
"Romo14",0.000383516898249434,0.709300372998808,0.658,0.429,1,"19","Romo1"
"Magt14",0.000448070198208044,0.696110835950342,0.354,0.189,1,"19","Magt1"
"Arf52",0.000448154117336464,0.680812046070409,0.747,0.553,1,"19","Arf5"
"Cox202",0.000496795373754004,0.993158288732674,0.468,0.259,1,"19","Cox20"
"Sdf21",0.00050444752376255,1.23560363203822,0.354,0.176,1,"19","Sdf2"
"Psma41",0.000516341925177327,0.767253771572048,0.658,0.438,1,"19","Psma4"
"Tcp12",0.000528331938851188,0.565310011810457,0.532,0.32,1,"19","Tcp1"
"Cast4",0.000537487890144655,0.749831058295047,0.468,0.256,1,"19","Cast"
"Stat12",0.000552036847234758,0.56201594229566,0.38,0.2,1,"19","Stat1"
"Clip11",0.000575492129962311,0.584776131886307,0.367,0.204,1,"19","Clip1"
"Mrpl421",0.00057786151503312,0.746871801149826,0.519,0.297,1,"19","Mrpl42"
"Selenow5",0.000621627361035047,0.554589707815578,0.835,0.718,1,"19","Selenow"
"Rapgef61",0.000636903939191931,0.611348420865026,0.354,0.2,1,"19","Rapgef6"
"Hook35",0.000654508107811218,0.823233613134577,0.468,0.255,1,"19","Hook3"
"Bex34",0.000659000788210154,0.528078160377032,0.443,0.261,1,"19","Bex3"
"Nudcd3",0.000682838888636466,0.881131428734591,0.405,0.208,1,"19","Nudcd3"
"Klf34",0.000759219686738935,0.553775060307592,0.443,0.265,1,"19","Klf3"
"Tmcc11",0.000796198835258716,0.932260121779643,0.38,0.186,1,"19","Tmcc1"
"Rbbp76",0.000861380253735425,0.602323195816796,0.443,0.256,1,"19","Rbbp7"
"9530068E07Rik",0.000867636336657895,1.03465594602533,0.392,0.194,1,"19","9530068E07Rik"
"Cdk121",0.000901415488957869,0.832932015939627,0.468,0.259,1,"19","Cdk12"
"Ifi277",0.000934156833035162,0.996657304607661,0.468,0.261,1,"19","Ifi27"
"Xist4",0.00098339470030537,0.589166866699737,0.911,0.85,1,"19","Xist"
"Brd84",0.00105618209915685,0.580673809926351,0.405,0.233,1,"19","Brd8"
"Ost41",0.00110017558672173,0.734307702227081,0.633,0.472,1,"19","Ost4"
"Psmd143",0.00110799091891806,0.918998726690009,0.456,0.249,1,"19","Psmd14"
"Ap2b1",0.00114588293270045,0.836235385637152,0.418,0.225,1,"19","Ap2b1"
"Sod23",0.00123550517323371,0.527069600984407,0.557,0.354,1,"19","Sod2"
