"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Ms4a4b",0,8.02749206107923,0.784,0.017,0,"Ms4a4b"
"AW112010",0,4.73844014642479,0.872,0.134,0,"AW112010"
"Nkg7",0,8.08526890429421,0.734,0.008,0,"Nkg7"
"Trbc2",0,9.90391730751786,0.711,0.002,0,"Trbc2"
"Ptprcap",0,3.18006985729404,0.773,0.082,0,"Ptprcap"
"Hcst",0,4.15177098985375,0.768,0.087,0,"Hcst"
"Sept1",0,3.75314313261476,0.759,0.089,0,"Sept1"
"Gimap3",0,5.52950126643632,0.677,0.018,0,"Gimap3"
"Vps37b",0,4.09803945236412,0.769,0.111,0,"Vps37b"
"Gimap4",0,4.67139344581651,0.699,0.042,0,"Gimap4"
"Il2rb",0,9.99393643520839,0.652,0.002,0,"Il2rb"
"H2-Q7",0,3.34900689556488,0.769,0.125,0,"H2-Q7"
"Ccl5",0,5.90924968606261,0.675,0.037,0,"Ccl5"
"Ptprc",0,2.05609824150878,0.931,0.321,0,"Ptprc"
"Ctsw",0,9.41770464770655,0.609,0.002,0,"Ctsw"
"Skap1",0,9.01864958420238,0.608,0.002,0,"Skap1"
"Cd3g",0,10.1919224105938,0.602,0.002,0,"Cd3g"
"Selplg",0,2.83698971898178,0.735,0.147,0,"Selplg"
"Rac2",0,2.05303929250269,0.833,0.252,0,"Rac2"
"Shisa5",0,2.74507382534778,0.855,0.278,0,"Shisa5"
"Ctla2a",0,3.09815750331303,0.621,0.05,0,"Ctla2a"
"Cd52",0,1.6114157503723,0.978,0.409,0,"Cd52"
"Fxyd5",0,1.4312680193469,0.859,0.297,0,"Fxyd5"
"Cd3d",0,8.6097049999322,0.564,0.005,0,"Cd3d"
"Lck",0,6.94853064401376,0.556,0.006,0,"Lck"
"Ets1",0,2.37861074228372,0.701,0.155,0,"Ets1"
"S100a10",0,2.13052722409058,0.85,0.305,0,"S100a10"
"Ptpn22",0,4.76970631769883,0.58,0.035,0,"Ptpn22"
"Gimap6",0,3.05759557648066,0.618,0.078,0,"Gimap6"
"Ptpn18",0,1.99433486038374,0.851,0.314,0,"Ptpn18"
"Ifngr1",0,2.66611544661385,0.768,0.234,0,"Ifngr1"
"Il2rg",0,2.93947285881479,0.633,0.102,0,"Il2rg"
"Coro1a",0,1.47446788937694,0.849,0.322,0,"Coro1a"
