"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Dock11",1.13380665309047e-09,0.483561223203182,0.246,0.117,2.84914273855103e-05,"Dock11"
"Impdh2",1.13837410455488e-09,0.442310908453359,0.262,0.127,2.86062028733596e-05,"Impdh2"
"3830406C13Rik",1.13986121528827e-09,0.419062839171299,0.211,0.093,2.86435724789789e-05,"3830406C13Rik"
"Naca",1.14952606148216e-09,-0.293377484067432,0.968,0.993,2.88864403989852e-05,"Naca"
"Psmc1",1.18582446097393e-09,0.320322187268343,0.22,0.098,2.9798582879814e-05,"Psmc1"
"Irf3",1.19997788730756e-09,0.552517117455185,0.16,0.061,3.01542443301516e-05,"Irf3"
"Pitpnm1",1.2283821943003e-09,0.599826378688259,0.156,0.059,3.08680161605724e-05,"Pitpnm1"
"Atf7ip",1.23199646754381e-09,0.354651757677716,0.36,0.19,3.09588392329085e-05,"Atf7ip"
"Arf6",1.23415421452815e-09,0.274331680737956,0.31,0.156,3.10130612568779e-05,"Arf6"
"Rnf20",1.23496075918422e-09,0.201845171801526,0.265,0.125,3.10333289175403e-05,"Rnf20"
"Rcor1",1.25369367727992e-09,0.318995056761087,0.215,0.094,3.15040684163671e-05,"Rcor1"
"Lims1",1.30395272602899e-09,0.295854905851936,0.234,0.106,3.27670280523826e-05,"Lims1"
"Zc3h15",1.30631829391641e-09,0.228435679988395,0.398,0.214,3.28264724078255e-05,"Zc3h15"
"Synj2bp",1.30955694831949e-09,0.364924489051872,0.26,0.125,3.29078565543205e-05,"Synj2bp"
"Sdhd",1.31835276811444e-09,0.28430365262771,0.211,0.093,3.31288867099478e-05,"Sdhd"
"Akap8l",1.32036358827283e-09,0.398551452899788,0.186,0.077,3.3179416609708e-05,"Akap8l"
"Ppp1r3b",1.33755783733685e-09,0.531634603737796,0.203,0.089,3.36114908944376e-05,"Ppp1r3b"
"Mlec",1.35321544357747e-09,0.392470626749054,0.263,0.127,3.40049508816583e-05,"Mlec"
"mt-Nd1",1.35841977204472e-09,-0.263266851300354,0.987,0.999,3.41357304517119e-05,"mt-Nd1"
"Btaf1",1.38441089571854e-09,0.765162664083011,0.15,0.056,3.47888613985111e-05,"Btaf1"
"Bbip1",1.4109329233734e-09,0.386650840825734,0.22,0.099,3.54553334314501e-05,"Bbip1"
"Akap13",1.41253243120089e-09,0.328310402981425,0.709,0.459,3.54955274636472e-05,"Akap13"
"Eed",1.43596190741324e-09,0.376737612310893,0.2,0.085,3.60842867713873e-05,"Eed"
"Tulp4",1.44609236812079e-09,0.230801445435003,0.224,0.1,3.63388551185073e-05,"Tulp4"
"Rpl10a",1.46739064074533e-09,-0.258908067574181,0.989,1,3.68740594112895e-05,"Rpl10a"
"Ankrd13a",1.48234018416122e-09,0.466987551002743,0.213,0.095,3.72497264877873e-05,"Ankrd13a"
"Cdkn2d",1.48762713492493e-09,0.474306956350223,0.215,0.096,3.73825822735286e-05,"Cdkn2d"
"Sytl2",1.50361257886809e-09,0.631043869476794,0.203,0.09,3.77842804943762e-05,"Sytl2"
"Zfp871",1.518525508356e-09,0.346819424011298,0.222,0.1,3.81590274994779e-05,"Zfp871"
"Psma2",1.52536948556422e-09,0.317613313571712,0.752,0.519,3.83310098027432e-05,"Psma2"
"Cox7a2l",1.54564508417977e-09,-0.490379869470487,0.731,0.718,3.88405153203533e-05,"Cox7a2l"
"Ranbp1",1.55790506847836e-09,0.283458333989821,0.473,0.273,3.91485964657926e-05,"Ranbp1"
"Ergic2",1.59592203420583e-09,0.355565739636979,0.218,0.098,4.01039247975584e-05,"Ergic2"
"Txndc9",1.62034115089565e-09,0.254521507121185,0.292,0.142,4.07175527808568e-05,"Txndc9"
"Creb1",1.63115426367933e-09,0.476771900815677,0.241,0.116,4.0989275491998e-05,"Creb1"
"Crem",1.68766948933164e-09,0.36613469364343,0.371,0.204,4.24094465974148e-05,"Crem"
"Atp2a2",1.75216400711658e-09,0.245709845145882,0.265,0.127,4.40301293348325e-05,"Atp2a2"
"Erap1",1.75359901784790e-09,0.569075168633359,0.201,0.088,4.40661897194998e-05,"Erap1"
"Hsd17b12",1.82824380202801e-09,0.396184766887299,0.175,0.07,4.59419385011618e-05,"Hsd17b12"
"Gnptg",1.82879558954117e-09,0.34915858191762,0.212,0.094,4.59558043695801e-05,"Gnptg"
"Mtmr1",1.82973993172613e-09,0.691653969981855,0.153,0.058,4.59795347443459e-05,"Mtmr1"
"Ash1l",1.84681467491555e-09,0.226932708779432,0.366,0.194,4.64086059659529e-05,"Ash1l"
"Cndp2",1.8686014959635e-09,0.697662187983701,0.159,0.062,4.69560869920667e-05,"Cndp2"
"Ufm1",1.87869368908016e-09,0.365100342218343,0.21,0.094,4.72096937128953e-05,"Ufm1"
"Msh3",1.98804246191924e-09,0.580115120019592,0.161,0.063,4.99575190255685e-05,"Msh3"
"Prpf40a",2.03540557369451e-09,0.220358198871392,0.475,0.265,5.11477066613693e-05,"Prpf40a"
"Ankrd44",2.04322644935618e-09,0.310319013568717,0.472,0.271,5.13442374458715e-05,"Ankrd44"
"Dbnl",2.06534578571886e-09,0.288325655587879,0.383,0.206,5.19000742493293e-05,"Dbnl"
"Smad4",2.09158350258621e-09,0.373858239178861,0.228,0.105,5.2559401836489e-05,"Smad4"
"Ppp1r15b",2.11729044292493e-09,0.671593194764567,0.174,0.072,5.32053915402605e-05,"Ppp1r15b"
"Cotl1",2.15768130669461e-09,0.353981753264032,0.686,0.459,5.42203735559288e-05,"Cotl1"
"Otud4",2.16707349258566e-09,0.549400934299386,0.181,0.077,5.44563897951851e-05,"Otud4"
"Gm43065",2.29465326257267e-09,0.300880729915538,0.228,0.105,5.76623418351886e-05,"Gm43065"
"Elk3",2.30202442411517e-09,0.433265390432595,0.195,0.084,5.78475717535901e-05,"Elk3"
"Gpsm3",2.32482859425419e-09,0.269926171742327,0.477,0.272,5.84206177450137e-05,"Gpsm3"
"Ormdl2",2.35814761444688e-09,0.46453476503112,0.16,0.062,5.92578914034356e-05,"Ormdl2"
"AI506816",2.38333181780841e-09,0.580426032364527,0.226,0.108,5.98907452497076e-05,"AI506816"
"Ddx42",2.46891542726527e-09,0.324496177086599,0.293,0.148,6.2041375771749e-05,"Ddx42"
"Brcc3",2.47224330343122e-09,0.542577609843691,0.167,0.068,6.21250019719231e-05,"Brcc3"
"Commd1",2.64576521177932e-09,0.346220990757978,0.229,0.108,6.64854340068025e-05,"Commd1"
"Bod1l",2.64856841905932e-09,0.228791660937284,0.457,0.26,6.65558758025417e-05,"Bod1l"
"Sys1",2.66035135954072e-09,0.212886916666467,0.402,0.219,6.68519693138987e-05,"Sys1"
"Psmd10",2.68117349349394e-09,0.540535110566724,0.175,0.072,6.73752087180093e-05,"Psmd10"
"Nipa2",2.75414212841708e-09,0.339407542765273,0.239,0.114,6.92088375449928e-05,"Nipa2"
"Csnk1d",2.81157512475362e-09,0.323492157515026,0.223,0.101,7.06520713099338e-05,"Csnk1d"
"Eftud2",2.8324125485254e-09,0.483371859221507,0.15,0.057,7.11756949318949e-05,"Eftud2"
"Zfpm1",2.84139682767612e-09,0.543254692392567,0.207,0.093,7.14014608826731e-05,"Zfpm1"
"Ly9",2.85589333947231e-09,0.491697037087266,0.2,0.089,7.17657437275996e-05,"Ly9"
"Med13",2.8670638684015e-09,0.263989894248205,0.229,0.105,7.20464479490612e-05,"Med13"
"Aggf1",2.87867886782177e-09,0.407447079470095,0.22,0.1,7.23383212694932e-05,"Aggf1"
"Ahsa1",2.88120468085152e-09,0.38503914127526,0.203,0.089,7.24017924251178e-05,"Ahsa1"
"Rpl9-ps6",2.89120257117608e-09,0.411797011822489,0.245,0.117,7.26530294110836e-05,"Rpl9-ps6"
"Slu7",2.89732512750507e-09,0.297141144540208,0.208,0.091,7.28068831290748e-05,"Slu7"
"Eri1",2.90557684820623e-09,0.464803743260528,0.199,0.088,7.30142406185743e-05,"Eri1"
"Nop56",3.00989136200852e-09,0.30599574205077,0.298,0.152,7.5635560035912e-05,"Nop56"
"Chmp5",3.05095622878384e-09,0.239423643999323,0.293,0.147,7.66674790731091e-05,"Chmp5"
"Supt6",3.08762282657483e-09,0.352678395751023,0.278,0.14,7.75888740089988e-05,"Supt6"
"Trpc4ap",3.10581669690962e-09,0.364084940097744,0.214,0.096,7.80460677766419e-05,"Trpc4ap"
"Ddx39",3.26987465676979e-09,0.367111789400184,0.27,0.133,8.21686802499681e-05,"Ddx39"
"Saraf",3.27009433650885e-09,-0.50833075576369,0.616,0.638,8.21742005821308e-05,"Saraf"
"Med1",3.30956643258045e-09,0.306146637855075,0.21,0.094,8.3166094884314e-05,"Med1"
"Esyt2",3.36103360888701e-09,0.346346788467718,0.288,0.145,8.44594135577216e-05,"Esyt2"
"Fip1l1",3.36459733718123e-09,0.268893692515137,0.307,0.157,8.4548966486027e-05,"Fip1l1"
"Serf2",3.39819411319887e-09,-0.315520073203805,0.973,0.989,8.53932198705743e-05,"Serf2"
"Trir",3.40120012321115e-09,0.222030784315746,0.603,0.351,8.54687578961731e-05,"Trir"
"Ubn2",3.42087178368737e-09,0.323409327395926,0.296,0.151,8.596308705228e-05,"Ubn2"
"Atp6v1g1",3.61019732214194e-09,-0.496314032431561,0.592,0.625,9.07206485081048e-05,"Atp6v1g1"
"Abcf1",3.67453306655873e-09,0.236448944222555,0.389,0.209,9.23373414295544e-05,"Abcf1"
"Suds3",3.71891097718751e-09,0.276987218565182,0.232,0.109,9.34525139457448e-05,"Suds3"
"Sppl2a",3.73195598797054e-09,0.328916907013438,0.302,0.156,9.37803220217116e-05,"Sppl2a"
"Il18r1",3.91908219207982e-09,0.417204845441431,0.354,0.203,9.84826164047737e-05,"Il18r1"
"Herc1",3.99948909453e-09,0.302549863106761,0.293,0.15,0.000100503161456444,"Herc1"
"Tmem192",4.0362179587012e-09,0.462675594606425,0.191,0.083,0.000101426121084203,"Tmem192"
"Srgn",4.05750761569326e-09,0.360940117274608,0.92,0.794,0.000101961108874756,"Srgn"
"Trmt1l",4.0656810392033e-09,0.656692674012705,0.157,0.062,0.00010216649883414,"Trmt1l"
"Arhgef6",4.12748323515151e-09,0.396435883274776,0.284,0.143,0.000103719526216122,"Arhgef6"
"Rbm26",4.17522737166028e-09,0.243068522052741,0.282,0.14,0.000104919288622451,"Rbm26"
"Pdcd6ip",4.21560951356124e-09,0.20739420611352,0.371,0.195,0.00010593405146628,"Pdcd6ip"
"Rbpj",4.28613466405663e-09,0.372005411898159,0.328,0.177,0.000107706277973079,"Rbpj"
